SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_2P,PER100_2PA,PER100_2P%,PER100_3P,PER100_3PA,PER100_3P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,PER100_ORtg,PER100_DRtg,PLAYER,SPORTS_REF_ID
2013-14,Wichita State,MVC,36,36,986,11.8,24.3,0.484,7.6,13.1,0.579,4.1,11.1,0.373,9.5,11.3,0.844,13.4,1.7,1.8,1.8,4.4,5.2,37.2,121.3,91.4,Cleanthony Early,cleanthony-early-1
Career,Wichita State,,75,58,1965,11.7,24.9,0.47,8.1,14.6,0.555,3.6,10.2,0.348,8.8,10.8,0.819,13.4,1.6,1.8,2,4.1,5.8,35.7,119.2,93.7,Cleanthony Early,cleanthony-early-1
2014-15,Kansas,Big 12,28,6,492,8.9,15.7,0.566,8.9,15.7,0.566,0,0,,6.5,9.6,0.671,18,1.5,0.6,4.5,3.4,6.9,24.3,118.2,95,Cliff Alexander,cliff-alexander-1
Career,Kansas,,28,6,492,8.9,15.7,0.566,8.9,15.7,0.566,0,0,,6.5,9.6,0.671,18,1.5,0.6,4.5,3.4,6.9,24.3,118.2,95,Cliff Alexander,cliff-alexander-1
2011-12,Indiana,Big Ten,36,36,1025,11.7,18.7,0.623,11.7,18.7,0.623,0,0,,9.5,12.6,0.755,13.8,2.6,2.9,2.4,3.5,5.7,32.8,132.1,96.3,Cody Zeller,cody-zeller-1
2012-13,Indiana,Big Ten,36,36,1062,11.2,19.8,0.564,11.2,19.7,0.567,0,0.1,0,11,14.5,0.757,16.2,2.6,2.1,2.5,4.5,4.5,33.3,124.5,89.5,Cody Zeller,cody-zeller-1
Career,Indiana,,72,72,2087,11.4,19.3,0.592,11.4,19.2,0.594,0,0.1,0,10.3,13.6,0.756,15,2.6,2.5,2.5,4,5.1,33.1,128.1,92.8,Cody Zeller,cody-zeller-1
2017-18,Alabama,SEC,33,32,987,11.3,25.3,0.447,8.8,17.7,0.495,2.5,7.6,0.336,11.3,14.5,0.778,7.2,6.9,1.6,0.2,5.3,4.7,36.5,113.2,105.2,Collin Sexton,collin-sexton-1
Career,Alabama,,33,32,987,11.3,25.3,0.447,8.8,17.7,0.495,2.5,7.6,0.336,11.3,14.5,0.778,7.2,6.9,1.6,0.2,5.3,4.7,36.5,113.2,105.2,Collin Sexton,collin-sexton-1
2007-08,Colorado,Big 12,32,32,1074,,,0.459,,,0.53,,,0.333,,,0.68,,,,,,,,,,Cory Higgins,cory-higgins-1
2008-09,Colorado,Big 12,31,31,1146,,,0.476,,,0.516,,,0.36,,,0.83,,,,,,,,,,Cory Higgins,cory-higgins-1
2009-10,Colorado,Big 12,31,31,1036,10.8,21.3,0.505,9,16.3,0.551,1.8,5,0.356,9.4,11.3,0.833,6.7,4.1,3.3,0.6,4,4.3,32.8,116.4,106.1,Cory Higgins,cory-higgins-1
2010-11,Colorado,Big 12,38,37,1222,9.5,21.8,0.434,7.8,16.8,0.462,1.7,5,0.34,8.2,9.5,0.866,5.9,4.5,1.8,0.7,3.8,3.9,28.9,114.1,109.1,Cory Higgins,cory-higgins-1
Career,Colorado,,132,131,4478,10.1,21.6,0.467,8.3,16.6,0.509,1.7,5,0.347,8.8,10.3,0.825,6.3,4.3,2.5,0.6,3.9,4.1,30.7,115.2,107.7,Cory Higgins,cory-higgins-1
2009-10,Baylor,Big 12,21,0,97,5.5,14.1,0.391,5.5,13.5,0.409,0,0.6,0,5.5,8,0.692,15.3,0,1.2,2.5,3.1,8,16.6,103.7,98.8,Cory Jefferson,cory-jefferson-1
2011-12,Baylor,Big 12,34,1,357,7.8,15,0.522,7.8,14.7,0.534,0,0.3,0,4.5,7.5,0.6,15,0.5,1.3,7,2.5,7.5,20.2,111.1,92.5,Cory Jefferson,cory-jefferson-1
2012-13,Baylor,Big 12,37,37,1032,10.8,17.7,0.61,10.6,17.2,0.618,0.2,0.5,0.333,6.1,8.6,0.704,16.7,0.6,1,4,1.7,4.8,27.9,132.6,94.5,Cory Jefferson,cory-jefferson-1
2013-14,Baylor,Big 12,38,38,1103,10.4,20.8,0.5,9.6,18.6,0.515,0.8,2.1,0.368,7.7,12.1,0.64,17.6,2.1,0.8,2.8,2.9,4.7,29.3,119.9,102.7,Cory Jefferson,cory-jefferson-1
Career,Baylor,,130,76,2589,10,18.5,0.543,9.6,17.3,0.556,0.4,1.2,0.34,6.5,9.9,0.66,16.8,1.2,1,3.9,2.3,5.3,27,123.2,97.8,Cory Jefferson,cory-jefferson-1
2010-11,Texas,Big 12,36,36,1166,6.9,16.3,0.422,4.3,9.9,0.429,2.6,6.4,0.413,2.6,3.7,0.699,6.5,5.5,1.9,0.6,2.7,3.3,19,112.7,95,Cory Joseph,cory-joseph-1
Career,Texas,,36,36,1166,6.9,16.3,0.422,4.3,9.9,0.429,2.6,6.4,0.413,2.6,3.7,0.699,6.5,5.5,1.9,0.6,2.7,3.3,19,112.7,95,Cory Joseph,cory-joseph-1
2012-13,Arkansas,SEC,31,13,632,6.8,13.3,0.514,6,11.6,0.519,0.8,1.7,0.474,6.7,9.1,0.743,14.4,3.1,3.9,1.8,3.4,8.1,21.2,119.5,92.8,Coty Clarke,coty-clarke-1
2013-14,Arkansas,SEC,34,30,752,7.7,17.5,0.441,5.9,13.2,0.444,1.8,4.3,0.431,6.2,7.7,0.81,13.9,5.9,3.7,1.3,3.3,7.6,23.5,116.9,91.4,Coty Clarke,coty-clarke-1
Career,Arkansas,,65,43,1384,7.3,15.6,0.469,5.9,12.5,0.476,1.4,3.1,0.442,6.5,8.3,0.777,14.2,4.7,3.8,1.5,3.3,7.8,22.4,118,92,Coty Clarke,coty-clarke-1
2014-15,Ohio State,Big Ten,35,34,1188,11.8,26.3,0.449,6.9,14.5,0.479,4.8,11.8,0.411,6,8,0.756,10.1,8.9,2.8,0.6,5.2,3.8,34.4,115.7,94.5,D'Angelo Russell,dangelo-russell-1
Career,Ohio State,,35,34,1188,11.8,26.3,0.449,6.9,14.5,0.479,4.8,11.8,0.411,6,8,0.756,10.1,8.9,2.8,0.6,5.2,3.8,34.4,115.7,94.5,D'Angelo Russell,dangelo-russell-1
2007-08,St. John's (NY),Big East,30,29,795,,,0.446,,,0.485,,,0.333,,,0.706,,,,,,,,,,D.J. Kennedy,dj-kennedy-1
2008-09,St. John's (NY),Big East,34,34,1176,,,0.402,,,0.436,,,0.333,,,0.733,,,,,,,,,,D.J. Kennedy,dj-kennedy-1
2009-10,St. John's (NY),Big East,33,31,1037,9.3,20.7,0.45,6.3,12.9,0.491,3,7.8,0.383,7.7,10.1,0.756,11.9,6,2.2,1.3,4.8,3.4,29.3,114.5,99.3,D.J. Kennedy,dj-kennedy-1
2010-11,St. John's (NY),Big East,32,31,919,6.8,14.9,0.456,5.5,11.3,0.486,1.3,3.6,0.364,6.9,8.8,0.778,11.8,4.3,3.7,1,3.6,4.5,21.8,113.6,96.5,D.J. Kennedy,dj-kennedy-1
Career,St. John's (NY),,129,125,3927,8.1,18,0.436,5.9,12.1,0.472,2.2,5.8,0.358,7.3,9.5,0.746,11.9,5.2,2.9,1.1,4.3,3.9,25.8,114.1,98,D.J. Kennedy,dj-kennedy-1
2009-10,Memphis,CUSA,33,3,261,5.3,9.1,0.575,5,8.7,0.579,0.2,0.5,0.5,3.2,5.5,0.583,14.6,1.4,1.8,1.8,0.9,5.7,13.9,139,100,D.J. Stephens,dj-stephens-1
2010-11,Memphis,CUSA,32,4,358,8.1,12.6,0.641,7.9,12.3,0.645,0.2,0.3,0.5,1.8,3.2,0.55,13.6,2.3,2.6,4.2,2.4,6.3,18.1,123.9,95.8,D.J. Stephens,dj-stephens-1
2011-12,Memphis,CUSA,28,0,233,6.9,10.7,0.643,6.4,9.2,0.694,0.5,1.5,0.333,2.8,4.1,0.688,12.5,0.3,2,5.4,1.5,8.2,17.1,131,90.8,D.J. Stephens,dj-stephens-1
2012-13,Memphis,CUSA,36,28,851,7.2,11.5,0.629,6.4,9.1,0.701,0.9,2.4,0.361,3,4.6,0.662,16.2,1.6,2.2,6.4,1.6,4.5,18.4,134.9,87.3,D.J. Stephens,dj-stephens-1
Career,Memphis,,129,35,1703,7.1,11.3,0.627,6.5,9.7,0.669,0.6,1.6,0.37,2.8,4.4,0.633,14.9,1.5,2.2,5.1,1.7,5.6,17.5,132.4,91.5,D.J. Stephens,dj-stephens-1
2014-15,Michigan,Big Ten,5,0,24,2.7,11,0.25,2.7,8.2,0.333,0,2.7,0,0,0,,16.5,0,0,8.2,2.7,11,5.5,54.2,94.9,D.J. Wilson,dj-wilson-1
2015-16,Michigan,Big Ten,26,0,158,10.4,21.9,0.474,7.3,12.7,0.576,3.1,9.2,0.333,3.1,4.2,0.727,6.9,3.1,1.9,3.8,3.5,8.1,26.9,105.1,100.5,D.J. Wilson,dj-wilson-1
2016-17,Michigan,Big Ten,38,36,1155,8.9,16.6,0.538,6.7,10.6,0.631,2.2,6,0.373,2.7,3.3,0.833,11,2.7,1.1,3.1,2.3,3.9,22.7,124.1,103,D.J. Wilson,dj-wilson-1
Career,Michigan,,69,36,1337,9,17.1,0.525,6.7,10.8,0.619,2.3,6.3,0.363,2.7,3.3,0.817,10.6,2.7,1.2,3.3,2.4,4.5,23,120.4,102.6,D.J. Wilson,dj-wilson-1
2013-14,Kentucky,SEC,39,18,550,9,15.9,0.569,9,15.9,0.569,0,0,,4.2,9.4,0.447,17,1.2,1,2.5,2.8,8.7,22.3,117.3,100.9,Dakari Johnson,dakari-johnson-1
2014-15,Kentucky,SEC,39,0,635,7.8,15.4,0.506,7.8,15.4,0.506,0,0,,8.9,14.2,0.625,17.7,2.9,1.4,3.6,4.1,6.8,24.5,113.9,82.6,Dakari Johnson,dakari-johnson-1
Career,Kentucky,,78,18,1185,8.4,15.6,0.537,8.4,15.6,0.537,0,0,,6.7,11.9,0.559,17.4,2.1,1.2,3.1,3.5,7.7,23.4,115.4,91.2,Dakari Johnson,dakari-johnson-1
2013-14,Vanderbilt,SEC,31,28,798,10.8,19.8,0.543,10.8,19.8,0.543,0,0,,5.7,10.4,0.545,13.7,0.5,0.7,3.3,4.4,8.1,27.2,100.9,100.1,Damian Jones,damian-jones-1
2014-15,Vanderbilt,SEC,35,34,1020,11.5,20.5,0.562,11.4,20.1,0.567,0.1,0.3,0.2,8.2,13.7,0.599,14,1.6,1.2,4.3,4.7,5.5,31.3,109.1,97.7,Damian Jones,damian-jones-1
2015-16,Vanderbilt,SEC,33,33,866,12.3,20.9,0.59,12.3,20.6,0.595,0,0.2,0,6,11.2,0.536,15.2,2.5,0.5,3.6,4.3,7.2,30.6,110.4,95.8,Damian Jones,damian-jones-1
Career,Vanderbilt,,99,95,2684,11.6,20.4,0.566,11.5,20.2,0.57,0,0.2,0.125,6.7,11.9,0.565,14.3,1.6,0.8,3.8,4.5,6.8,29.9,107.3,97.8,Damian Jones,damian-jones-1
2008-09,Weber State,Big Sky,31,26,911,,,0.434,,,0.49,,,0.374,,,0.841,,,,,,,,,,Damian Lillard,damian-lillard-1
2009-10,Weber State,Big Sky,31,31,1062,10.2,23.6,0.431,5.6,11.8,0.47,4.6,11.8,0.393,9,10.5,0.853,6.9,6.2,1.9,0.2,4.1,3.2,33.9,121.2,105.1,Damian Lillard,damian-lillard-1
2010-11,Weber State,Big Sky,10,9,285,10.4,23.9,0.438,6.4,12.1,0.526,4,11.7,0.345,12.8,14.9,0.857,8.1,7,3,0.4,6,4.9,37.7,116.6,100.8,Damian Lillard,damian-lillard-1
2011-12,Weber State,Big Sky,32,32,1105,12.4,26.6,0.467,7.4,14.3,0.517,5.1,12.4,0.409,12.3,13.8,0.887,8.7,6.9,2.5,0.4,4,3.3,42.2,128.4,101.6,Damian Lillard,damian-lillard-1
Career,Weber State,,104,98,3363,11.2,25,0.446,6.5,13,0.497,4.8,12,0.39,10.9,12.5,0.867,7.8,6.6,2.3,0.3,4.2,3.5,38.1,124.1,103.1,Damian Lillard,damian-lillard-1
2011-12,Drexel,CAA,36,35,1042,9,19.7,0.454,5,9.1,0.545,4,10.6,0.375,5.4,6.9,0.773,9.9,3.9,1.9,0.8,3.8,5,27.2,115.7,93.6,Damion Lee,damion-lee-1
2012-13,Drexel,CAA,27,24,892,11.1,26.2,0.425,6.6,13.6,0.484,4.5,12.6,0.36,7.1,8.5,0.829,10.1,3.6,1.6,0.2,3.7,5.8,33.8,114.4,102.9,Damion Lee,damion-lee-1
2013-14,Drexel,CAA,5,5,134,9.4,25.4,0.37,6.6,15.1,0.438,2.8,10.4,0.273,8.9,10.4,0.864,9.9,5.2,1.4,0.5,3.3,8,30.6,104.9,101.9,Damion Lee,damion-lee-1
2014-15,Drexel,CAA,27,27,1029,10.8,24.6,0.438,6.6,13.9,0.479,4.1,10.7,0.385,10.9,12.3,0.887,10.4,4,2.6,0.6,3.2,3.8,36.6,122,102.6,Damion Lee,damion-lee-1
2015-16,Louisville,ACC,30,30,1007,9.1,21.2,0.428,5.4,10.5,0.517,3.6,10.7,0.341,6.8,8,0.843,7,3.5,2.8,0.1,3,3.7,28.6,120.9,94.6,Damion Lee,damion-lee-1
Career,Overall,,125,121,4104,9.9,22.9,0.433,5.9,11.8,0.5,4,11.1,0.362,7.6,9,0.843,9.3,3.8,2.2,0.4,3.4,4.6,31.4,117.9,98.4,Damion Lee,damion-lee-1
2012-13,Oregon,Pac-12,37,36,1031,9.2,20.9,0.439,6.5,12.9,0.509,2.6,8.1,0.329,2.6,3.7,0.723,7.3,1.9,1.9,0.3,2.8,2.4,23.7,106.6,96.3,Damyean Dotson,damyean-dotson-1
2013-14,Oregon,Pac-12,33,33,786,8.4,19.3,0.438,6.5,13.2,0.495,1.9,6,0.313,3.9,4.8,0.803,7.7,2.9,1.2,0.4,2.8,4.2,22.6,108.1,109.6,Damyean Dotson,damyean-dotson-1
2015-16,Houston,AAC,32,32,991,10,19.7,0.506,6.2,9.4,0.658,3.8,10.3,0.367,3.3,4,0.833,13.2,2.4,1.3,0.4,2,3.7,27.1,132.1,103.1,Damyean Dotson,damyean-dotson-1
2016-17,Houston,AAC,32,32,1098,11.2,23.8,0.47,5.2,10.3,0.505,6,13.5,0.443,2.4,2.9,0.83,12.3,2,1.6,0.3,1.8,2.9,30.8,127,98.3,Damyean Dotson,damyean-dotson-1
Career,Overall,,134,133,3906,9.8,21.1,0.464,6.1,11.4,0.535,3.7,9.7,0.38,3,3.8,0.796,10.2,2.3,1.5,0.3,2.3,3.2,26.3,118.9,101.3,Damyean Dotson,damyean-dotson-1
2014-15,UConn,AAC,35,35,1100,8.2,21.5,0.38,5.5,13.6,0.401,2.7,7.9,0.343,3.3,4.9,0.667,15.7,7.5,1.9,0.8,4.8,5.1,22.3,97.5,92.7,Daniel Hamilton,daniel-hamilton-1
2015-16,UConn,AAC,36,36,1147,8.4,21.6,0.387,5.9,14.2,0.416,2.5,7.5,0.331,4.5,5.3,0.86,16.9,8.9,2,0.8,4.5,3.5,23.7,103.9,89.7,Daniel Hamilton,daniel-hamilton-1
Career,UConn,,71,71,2247,8.3,21.6,0.384,5.7,13.9,0.409,2.6,7.7,0.337,3.9,5.1,0.772,16.3,8.3,2,0.8,4.6,4.2,23.1,100.9,91.1,Daniel Hamilton,daniel-hamilton-1
2012-13,Villanova,Big East,34,11,594,4.5,9.9,0.455,4.5,9.7,0.464,0,0.2,0,2.9,6,0.483,13.8,2,2.5,2.3,4.1,6.8,11.9,90.2,94,Daniel Ochefu,daniel-ochefu-1
2013-14,Villanova,Big East,34,31,737,6.1,10.3,0.594,6.1,10.2,0.598,0,0.1,0,3.3,5.9,0.554,16.7,3.8,1.9,4.2,5.1,7.6,15.5,103.6,91.5,Daniel Ochefu,daniel-ochefu-1
2014-15,Villanova,Big East,36,34,864,9.3,14.4,0.644,9.3,14.4,0.644,0,0,,5.1,7.4,0.692,21.7,3.9,2.2,3.6,4.7,5.4,23.6,121.7,85.8,Daniel Ochefu,daniel-ochefu-1
2015-16,Villanova,Big East,37,34,865,10.5,16.8,0.627,10.5,16.7,0.63,0,0.1,0,4.5,6.5,0.684,19.1,4.3,2,3.9,3.4,6.3,25.5,125.2,87.2,Daniel Ochefu,daniel-ochefu-1
Career,Villanova,,141,110,3060,7.9,13.2,0.6,7.9,13.1,0.604,0,0.1,0,4.1,6.5,0.622,18.2,3.6,2.1,3.6,4.3,6.5,19.9,113.8,89.2,Daniel Ochefu,daniel-ochefu-1
2012-13,Houston,CUSA,33,27,944,7.7,17.6,0.436,5.9,11.9,0.495,1.8,5.7,0.316,7.6,10.5,0.718,9.9,3.7,1.9,0.5,3.7,4.8,24.7,111.2,104.2,Danuel House,danuel-house-1
2013-14,Houston,AAC,24,18,684,9.6,22.4,0.428,6.5,13.2,0.493,3,9.1,0.333,6.3,9,0.699,11.2,3.9,1.6,1.6,4.5,4.4,28.5,105.4,109.1,Danuel House,danuel-house-1
2014-15,Texas A&M,SEC,26,23,845,9.2,22.1,0.417,4.6,10.7,0.434,4.6,11.4,0.4,5.3,8.2,0.643,7.2,4,1.3,1.2,3.7,3.1,28.3,108.5,100.9,Danuel House,danuel-house-1
2015-16,Texas A&M,SEC,36,34,1114,9.7,24.4,0.396,5.7,11.7,0.491,3.9,12.7,0.309,6.2,8.6,0.715,8.9,4,1,0.6,3.3,2.7,29.4,108.2,99.6,Danuel House,danuel-house-1
Career,Overall,,119,102,3587,9,21.6,0.416,5.7,11.8,0.481,3.3,9.8,0.338,6.4,9.1,0.699,9.2,3.9,1.4,0.9,3.8,3.7,27.7,108.4,102.9,Danuel House,danuel-house-1
2009-10,Marquette,Big East,34,22,1009,9.4,20.6,0.455,4.9,11.1,0.439,4.5,9.5,0.474,4,5.9,0.677,5.5,5,1.8,0.4,4.2,4.7,27.2,109.9,103.5,Darius Johnson-Odom,darius-johnson-odom-1
2010-11,Marquette,Big East,37,35,1109,10.4,24,0.433,6.6,13.7,0.484,3.8,10.3,0.364,6.4,9.1,0.708,5.9,4.7,1.6,0.4,4,4.9,31,110.5,105.3,Darius Johnson-Odom,darius-johnson-odom-1
2011-12,Marquette,Big East,34,33,1120,10.6,23.7,0.447,6.7,13.6,0.493,3.9,10.1,0.385,6.4,8.3,0.764,6,4.7,1.6,0.2,4,3.4,31.5,111.9,99.9,Darius Johnson-Odom,darius-johnson-odom-1
Career,Marquette,,105,90,3238,10.2,22.9,0.444,6.1,12.9,0.476,4,10,0.403,5.7,7.9,0.722,5.8,4.8,1.7,0.3,4.1,4.3,30,110.8,102.8,Darius Johnson-Odom,darius-johnson-odom-1
2008-09,Kentucky,SEC,36,2,764,,,0.41,,,0.449,,,0.333,,,0.804,,,,,,,,,,Darius Miller,darius-miller-1
2009-10,Kentucky,SEC,38,32,804,6.1,15.3,0.4,3.1,6.2,0.494,3.1,9.1,0.336,2.2,2.8,0.795,6.8,4.1,1.6,1.6,2.5,5.1,17.5,115.9,97.7,Darius Miller,darius-miller-1
2010-11,Kentucky,SEC,38,37,1178,7.6,16,0.478,4.7,9.3,0.503,3,6.7,0.443,3,3.5,0.853,8.9,3.4,1.6,2.2,2.9,5.1,21.2,119.9,98,Darius Miller,darius-miller-1
2011-12,Kentucky,SEC,40,11,1043,8.3,17.5,0.474,5,8.8,0.569,3.2,8.6,0.376,3.2,4,0.797,6.4,4.7,1.9,0.8,3.4,5,23,119.8,98.3,Darius Miller,darius-miller-1
Career,Kentucky,,152,82,3789,7.4,16.3,0.448,4.3,8.3,0.509,3.1,8,0.379,2.8,3.5,0.815,7.4,4.1,1.7,1.5,2.9,5.1,20.8,118.9,98,Darius Miller,darius-miller-1
2009-10,Michigan,Big Ten,32,19,777,4.3,10.6,0.406,3.7,7.4,0.506,0.6,3.2,0.179,2.4,3.8,0.63,4.8,7,1.7,0.4,4.2,5.1,11.6,90.7,103.5,Darius Morris,darius-morris-1
2010-11,Michigan,Big Ten,35,34,1219,10.6,21.7,0.489,9.8,18.3,0.533,0.8,3.4,0.25,5.7,8,0.715,7.3,12.4,1.9,0.1,5.4,3.9,27.8,111.4,102.1,Darius Morris,darius-morris-1
Career,Michigan,,67,53,1996,8.2,17.4,0.469,7.4,14.1,0.528,0.7,3.3,0.223,4.4,6.4,0.695,6.4,10.3,1.8,0.2,5,4.4,21.5,106.2,102.6,Darius Morris,darius-morris-1
2011-12,Villanova,Big East,29,9,524,5.3,14.2,0.373,2.9,6.1,0.481,2.4,8.1,0.292,2.6,3.4,0.767,8,3.2,1.5,0.9,2.5,5.8,15.6,104.7,106.6,Darrun Hilliard,darrun-hilliard-1
2012-13,Villanova,Big East,34,34,1015,6.8,17,0.403,4.6,9.7,0.47,2.3,7.2,0.315,6.6,8.9,0.739,5.6,3.3,3.3,0.6,3.9,4.5,22.6,103.5,96.8,Darrun Hilliard,darrun-hilliard-1
2013-14,Villanova,Big East,34,34,991,9.4,19.3,0.486,5.2,9.2,0.565,4.2,10.1,0.414,6.1,8.5,0.718,7.4,5.4,2.6,1,4.5,4.1,29,117.4,98.3,Darrun Hilliard,darrun-hilliard-1
2014-15,Villanova,Big East,35,35,1007,10.4,23.6,0.44,5.6,11.1,0.5,4.8,12.5,0.387,5,6.3,0.796,6.7,4.5,3.8,0.7,2.6,4.8,30.6,119.5,92.8,Darrun Hilliard,darrun-hilliard-1
Career,Villanova,,132,112,3537,8.3,19,0.436,4.8,9.4,0.507,3.5,9.6,0.367,5.4,7.2,0.748,6.8,4.2,3,0.8,3.5,4.6,25.6,112.8,97.6,Darrun Hilliard,darrun-hilliard-1
2016-17,Arkansas,SEC,36,21,908,8.7,19.1,0.453,4.7,8.8,0.531,4,10.3,0.387,8.4,9.7,0.866,5.8,4.9,2.5,0.1,4,4,29.7,121.9,107.3,Daryl Macon,daryl-macon-1
2017-18,Arkansas,SEC,35,30,1082,9,20.2,0.447,4.6,9.7,0.476,4.4,10.5,0.421,8,9.1,0.875,5.2,7.2,1.9,0.1,3.3,3.2,30.4,126.4,109.7,Daryl Macon,daryl-macon-1
Career,Arkansas,,71,51,1990,8.9,19.7,0.45,4.6,9.3,0.5,4.2,10.4,0.405,8.2,9.4,0.871,5.5,6.1,2.2,0.1,3.6,3.6,30.1,124.4,108.6,Daryl Macon,daryl-macon-1
2013-14,Cal Poly,Big West,34,30,809,11.4,21.6,0.526,11.4,21.6,0.526,0,0,,9.6,14,0.686,13.2,3.3,2.3,1.7,3.5,5.1,32.3,117.3,103.6,David Nwaba,david-nwaba-1
2014-15,Cal Poly,Big West,24,20,642,10.6,24.8,0.428,10.4,23.8,0.438,0.2,1.1,0.2,7.4,11.6,0.636,11.9,3.7,3.3,1.5,3.8,5.3,28.8,100.2,96.4,David Nwaba,david-nwaba-1
2015-16,Cal Poly,Big West,30,27,840,9.3,20.1,0.462,9.1,19.1,0.478,0.1,1,0.143,7.7,12.3,0.623,13.3,7.4,2.6,1,4.4,4.3,26.3,107.5,107.1,David Nwaba,david-nwaba-1
Career,Cal Poly,,88,77,2291,10.3,21.9,0.473,10.2,21.2,0.483,0.1,0.7,0.167,8.2,12.7,0.65,12.9,5,2.7,1.4,3.9,4.8,29,108.8,103.1,David Nwaba,david-nwaba-1
2010-11,Gonzaga,WCC,34,0,531,5.1,11,0.46,3,4.7,0.628,2.1,6.3,0.333,3.4,4.1,0.838,5,8,3.5,0.2,4.1,7,15.6,112.8,96.7,David Stockton,david-stockton-1
2011-12,Gonzaga,WCC,33,1,554,4,10.4,0.385,1.8,4.9,0.378,2.2,5.5,0.392,3.2,5.3,0.592,3.7,8.6,2.9,0.2,5.3,4.1,13.4,96,98.9,David Stockton,david-stockton-1
2012-13,Gonzaga,WCC,35,2,654,4.5,11.1,0.407,3.1,6.2,0.5,1.4,4.9,0.288,1.6,2.9,0.548,5.6,11.1,5,0.1,4,4.4,12,106,90.6,David Stockton,david-stockton-1
2013-14,Gonzaga,WCC,36,36,1002,5.4,12.4,0.434,4.5,8.4,0.531,0.9,4,0.232,4,5.3,0.756,5,8.9,3.2,0.4,4.3,4.7,15.7,106,99.9,David Stockton,david-stockton-1
Career,Gonzaga,,138,39,2741,4.8,11.4,0.424,3.3,6.5,0.515,1.5,5,0.306,3.2,4.5,0.7,4.9,9.2,3.6,0.2,4.4,5,14.4,105.2,96.9,David Stockton,david-stockton-1
2009-10,UNC,ACC,27,2,280,6.1,14,0.437,4.5,10.9,0.418,1.6,3.2,0.5,1.8,3.2,0.563,8.9,2.2,1.4,0.4,3.9,3.9,15.6,94.7,103.7,David Wear,david-wear-1
2011-12,UCLA,Pac-12,32,30,908,8.6,17.8,0.487,7.7,15.7,0.489,0.9,2,0.467,3.7,4.7,0.786,13.7,1.6,1.5,0.5,2.6,5.2,22,112.8,98.7,David Wear,david-wear-1
2012-13,UCLA,Pac-12,34,9,796,7.4,16.5,0.445,6.3,13.4,0.47,1.1,3.2,0.341,1.7,2.6,0.639,12.4,2.4,1.2,0.7,2.1,3.6,17.5,104.5,101.6,David Wear,david-wear-1
2013-14,UCLA,Pac-12,37,37,848,6.3,12.5,0.503,4.7,9,0.526,1.5,3.5,0.442,2.2,2.8,0.805,9.6,1.9,1.5,0.5,2.2,5,16.3,116.7,104.8,David Wear,david-wear-1
Career,Overall,,130,78,2832,7.3,15.4,0.473,6.1,12.5,0.485,1.2,2.9,0.423,2.5,3.4,0.736,11.5,2,1.4,0.5,2.5,4.6,18.3,109.6,101.9,David Wear,david-wear-1
2013-14,Miami (FL),ACC,33,10,683,7.2,20.9,0.343,3.1,9.6,0.326,4,11.3,0.357,3.5,5.3,0.673,5.6,3.8,1.6,0.4,4.4,5.6,21.9,93.2,105.8,Davon Reed,davon-reed-1
2014-15,Miami (FL),ACC,30,21,824,6,12.7,0.47,3.1,6.4,0.482,2.9,6.3,0.457,4.3,6,0.727,9.4,4.4,2.1,1,2.5,5.3,19.2,122.3,100,Davon Reed,davon-reed-1
2015-16,Miami (FL),ACC,35,35,1007,7.7,16.5,0.469,5,9.3,0.535,2.8,7.2,0.383,5,6.2,0.816,8.6,2.5,1.6,0.9,2.6,4.3,23.3,118,103.5,Davon Reed,davon-reed-1
2016-17,Miami (FL),ACC,33,33,1165,8.5,19.7,0.433,4.4,9.2,0.474,4.2,10.6,0.397,4.8,5.7,0.833,8.4,4.2,2.3,0.8,3.6,2.8,26.1,115.9,100.3,Davon Reed,davon-reed-1
Career,Miami (FL),,131,99,3679,7.5,17.5,0.43,4,8.7,0.466,3.5,8.8,0.395,4.5,5.8,0.779,8.2,3.7,1.9,0.8,3.2,4.2,23,113.1,102.1,Davon Reed,davon-reed-1
2016-17,Kentucky,SEC,36,34,1064,10.8,22.6,0.479,10,19.1,0.521,0.9,3.5,0.246,7.9,10.7,0.736,7.2,8.3,2.7,0.4,4.4,4.6,30.4,113.6,96.9,De'Aaron Fox,deaaron-fox-1
Career,Kentucky,,36,34,1064,10.8,22.6,0.479,10,19.1,0.521,0.9,3.5,0.246,7.9,10.7,0.736,7.2,8.3,2.7,0.4,4.4,4.6,30.4,113.6,96.9,De'Aaron Fox,deaaron-fox-1
2016-17,USC,Pac-12,36,25,972,5.9,13.6,0.437,4.7,9.2,0.51,1.2,4.3,0.284,4.5,6.4,0.706,10,7.3,4,2.2,3.8,4.8,17.6,110.8,100.6,De'Anthony Melton,deanthony-melton-1
Career,USC,,36,25,972,5.9,13.6,0.437,4.7,9.2,0.51,1.2,4.3,0.284,4.5,6.4,0.706,10,7.3,4,2.2,3.8,4.8,17.6,110.8,100.6,De'Anthony Melton,deanthony-melton-1
