SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER100_FG,PER100_FGA,PER100_FG%,PER100_2P,PER100_2PA,PER100_2P%,PER100_3P,PER100_3PA,PER100_3P%,PER100_FT,PER100_FTA,PER100_FT%,PER100_TRB,PER100_AST,PER100_STL,PER100_BLK,PER100_TOV,PER100_PF,PER100_PTS,PER100_ORtg,PER100_DRtg,PLAYER,SPORTS_REF_ID
2012-13,Illinois,Big Ten,36,34,1153,9.8,24.3,0.401,5.6,11.6,0.484,4.1,12.7,0.325,8.1,10.9,0.738,8.3,5.2,2.3,1.2,5.1,4.6,31.7,107.8,100,Brandon Paul,brandon-paul-1
Career,Illinois,,138,87,3665,8.7,22.6,0.384,5.2,11.7,0.439,3.5,10.8,0.325,6.7,9.2,0.724,8.7,5.2,2.6,1.1,5.2,4.9,27.5,101.3,99,Brandon Paul,brandon-paul-1
2015-16,LSU,SEC,27,5,357,5.4,16.8,0.321,2.6,6.5,0.405,2.8,10.3,0.269,2.9,4.2,0.704,4.9,3.4,1.8,0.5,2.6,2.8,16.4,93.4,110,Brandon Sampson,brandon-sampson-1
2016-17,LSU,SEC,31,26,853,7.8,16.3,0.475,5.3,9,0.586,2.5,7.4,0.339,5,6.4,0.78,6.2,2.7,1.2,0.9,4,3.5,23,108.7,117.2,Brandon Sampson,brandon-sampson-1
2017-18,LSU,SEC,27,9,510,7.9,16.6,0.476,4.7,7.6,0.627,3.2,9,0.35,4.5,6.4,0.702,7.9,2.5,2.4,0.2,3.1,5,23.5,115,109.5,Brandon Sampson,brandon-sampson-1
Career,LSU,,85,40,1720,7.3,16.5,0.442,4.6,8,0.566,2.7,8.5,0.324,4.4,5.9,0.745,6.4,2.8,1.7,0.6,3.5,3.8,21.8,107.5,113.4,Brandon Sampson,brandon-sampson-1
2011-12,VCU,CAA,36,4,675,5.5,13.2,0.414,4.6,9.9,0.468,0.8,3.3,0.25,4.4,5.8,0.75,9.6,5.4,7,0.7,4.2,6.5,16.1,100.2,83.5,Briante Weber,briante-weber-1
2012-13,VCU,A-10,36,7,751,5.2,12.4,0.421,4.5,9.2,0.487,0.7,3.1,0.225,4,5,0.785,7.9,7.6,7.6,0.7,3.2,6.4,15.1,112.4,85.4,Briante Weber,briante-weber-1
2013-14,VCU,A-10,35,35,1010,6.4,14.3,0.449,5.9,12,0.488,0.6,2.3,0.244,5.1,6.5,0.784,8,7.7,6.8,0.3,3.7,5,18.5,111.6,85.6,Briante Weber,briante-weber-1
2014-15,VCU,A-10,20,19,529,6.3,15.6,0.401,4.9,12.3,0.398,1.4,3.3,0.414,4.6,6.1,0.741,8.3,9.7,8.9,0.5,3.9,4.4,18.4,107.8,84.8,Briante Weber,briante-weber-1
Career,VCU,,127,65,2965,5.9,13.8,0.426,5.1,10.9,0.466,0.8,2.9,0.274,4.6,5.9,0.769,8.4,7.5,7.4,0.5,3.7,5.6,17.1,108.6,85,Briante Weber,briante-weber-1
2012-13,UNC,ACC,36,2,380,13.2,25.9,0.511,13.2,25.9,0.511,0,0,,2.2,3.8,0.577,16.9,1.5,2.5,2.8,2.8,8.2,28.7,105.3,91.2,Brice Johnson,brice-johnson-1
2013-14,UNC,ACC,34,2,661,13,22.9,0.566,13,22.9,0.566,0,0,,4.4,7.1,0.622,18.1,2.6,2.2,3.7,3.5,8.2,30.3,117.1,93.6,Brice Johnson,brice-johnson-1
2014-15,UNC,ACC,38,37,940,12.7,22.5,0.566,12.7,22.5,0.566,0,0,,4.8,7.1,0.678,18.1,2.2,1.6,2.6,3.6,6.9,30.3,117.3,94.9,Brice Johnson,brice-johnson-1
2015-16,UNC,ACC,40,39,1121,14.6,23.6,0.617,14.6,23.6,0.617,0,0,,7.8,9.8,0.794,21.1,2.9,2.2,3,3.6,5.4,37,130.2,92.3,Brice Johnson,brice-johnson-1
Career,UNC,,148,80,3102,13.5,23.4,0.577,13.5,23.4,0.577,0,0,,5.5,7.7,0.715,19.1,2.4,2,3,3.4,6.8,32.5,120.5,93.2,Brice Johnson,brice-johnson-1
2016-17,Miami (FL),ACC,33,29,1053,7.9,17.1,0.459,5.9,11.6,0.513,1.9,5.6,0.347,5.3,7.1,0.744,10.9,6.2,2.9,1.1,3.9,4.9,23,114.2,97.7,Bruce Brown,bruce-brown-2
2017-18,Miami (FL),ACC,19,19,640,7.2,17.3,0.415,5.7,11.8,0.484,1.5,5.5,0.267,4.1,6.4,0.629,12.4,7,2.3,1.4,4,4,19.9,102.7,97.5,Bruce Brown,bruce-brown-2
Career,Miami (FL),,52,48,1693,7.6,17.2,0.442,5.8,11.7,0.502,1.8,5.6,0.316,4.8,6.8,0.702,11.5,6.5,2.7,1.2,3.9,4.5,21.8,109.7,97.6,Bruce Brown,bruce-brown-2
2010-11,Providence,Big East,31,1,473,4.8,12.4,0.387,3.2,6.1,0.519,1.6,6.3,0.259,3.4,4.3,0.784,5.6,1.8,2.5,0,1.1,2,14.7,116.5,108.5,Bryce Cotton,bryce-cotton-1
2011-12,Providence,Big East,32,32,1234,7.1,17.3,0.413,3.3,7.3,0.459,3.8,10,0.379,4.4,5,0.891,4,3.5,1.6,0.2,2.6,2.5,22.5,117.4,112.5,Bryce Cotton,bryce-cotton-1
2012-13,Providence,Big East,32,31,1209,9.8,22.4,0.437,4.9,8.9,0.548,4.9,13.5,0.364,7.1,9,0.798,5.8,4.6,1.5,0.2,2.4,1.9,31.7,126.9,103.7,Bryce Cotton,bryce-cotton-1
