"bbref_id","season","age","experience","team","league","position","games_played","minutes_played","on_court_plus_minus","off_court_plus_minus","prop_pg","prop_sg","prop_sf","prop_pf","prop_c","minutes_pg","minutes_sg","minutes_sf","minutes_pf","minutes_c"
"varejan01",2008,25,4,"CLE","NBA","C",48,1320,4.3,6.6,0,0,0,0.28,0.72,0,0,0,369.6,950.4
"varejan01",2009,26,5,"CLE","NBA","PF",81,2306,11.2,2.1,0,0,0,0.57,0.43,0,0,0,1314.42,991.58
"varejan01",2010,27,6,"CLE","NBA","PF",76,2166,13.3,12.9,0,0,0,0.61,0.39,0,0,0,1321.26,844.74
"varejan01",2011,28,7,"CLE","NBA","C",31,994,-8.5,1.4,0,0,0,0,1,0,0,0,0,994
"varejan01",2012,29,8,"CLE","NBA","C",25,785,-1.1,8.5,0,0,0,0,1,0,0,0,0,785
"varejan01",2013,30,9,"CLE","NBA","C",25,901,-4.7,0.8,0,0,0,0.3,0.7,0,0,0,270.3,630.7
"varejan01",2014,31,10,"CLE","NBA","C",65,1800,1.6,9.2,0,0,0,0.21,0.79,0,0,0,378,1422
"varejan01",2015,32,11,"CLE","NBA","C",26,636,0.1,-5.3,0,0,0,0,1,0,0,0,0,636
"varejan01",2016,33,12,"TOT","NBA","C",53,496,1.1,-8.3,0,0,0,0.07,0.93,0,0,0,34.72,461.28
"varejan01",2016,33,12,"CLE","NBA","C",31,310,6.7,0.2,0,0,0,0.12,0.89,0,0,0,37.2,275.9
"varejan01",2016,33,12,"GSW","NBA","C",22,186,-7.8,-19.8,0,0,0,0,1,0,0,0,0,186
"varejan01",2017,34,13,"GSW","NBA","C",14,92,-11.8,-24.1,0,0,0,0.19,0.81,0,0,0,17.48,74.52
"barrean01",2005,22,1,"TOT","NBA","PG",38,483,2.6,1.8,1,0,0,0,0,483,0,0,0,0
"barrean01",2005,22,1,"HOU","NBA","PG",27,314,3.4,-1.6,1,0,0,0,0,314,0,0,0,0
"barrean01",2005,22,1,"ORL","NBA","PG",11,169,1.3,4.2,1,0,0,0,0,169,0,0,0,0
"barrean01",2006,23,2,"TOT","NBA","PG",19,282,-5.2,-6.8,1,0,0,0,0,282,0,0,0,0
"barrean01",2006,23,2,"PHO","NBA","PG",2,21,-31.8,-38,1,0,0,0,0,21,0,0,0,0
"barrean01",2006,23,2,"TOR","NBA","PG",17,261,-3,0.5,1,0,0,0,0,261,0,0,0,0
"barrean01",2007,24,3,"CHI","NBA","PG",6,29,-0.2,-5.6,1,0,0,0,0,29,0,0,0,0
"barrean01",2008,25,4,"LAC","NBA","PG",4,25,-34.7,-26.6,1,0,0,0,0,25,0,0,0,0
"emmetan01",2005,22,1,"MEM","NBA","SG",8,28,-18.5,-21.5,0.05,0.95,0,0,0,1.4,26.6,0,0,0
"emmetan01",2012,29,2,"NJN","NBA","SF",6,45,-2.3,4.5,0,0,0.83,0.17,0,0,0,37.35,7.65,0
"iguodan01",2005,21,1,"PHI","NBA","SG",82,2686,0.1,2.9,0.02,0.7,0.28,0,0,53.72,1880.2,752.08,0,0
"iguodan01",2006,22,2,"PHI","NBA","SF",82,3086,0.4,10.5,0,0.48,0.51,0.01,0,0,1481.28,1573.86,30.86,0
