SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,PLAYER,SPORTS_REF_ID
2012-13,Purdue,Big Ten,34,27,786,23.1,0.531,0.495,0,0.41,331,11.6,19.5,15.3,6.2,0.9,8.7,14,25.3,1.6,1.2,2.9,0.147,1,4.6,5.6,A.J. Hammons,aj-hammons-1
2013-14,Purdue,Big Ten,31,25,775,21.6,0.565,0.513,0.022,0.632,314,10,22.7,16.2,4.1,1,13.3,20.8,23.7,0.8,1.6,2.4,0.124,-1.5,7,5.4,A.J. Hammons,aj-hammons-1
2014-15,Purdue,Big Ten,34,23,827,26,0.569,0.54,0.024,0.467,372,12.2,19.7,16.1,9.1,1.3,12.3,17,26.9,1.8,1.8,3.6,0.174,1.2,7.7,8.9,A.J. Hammons,aj-hammons-1
2015-16,Purdue,Big Ten,33,20,813,31,0.623,0.601,0.033,0.378,431,11.5,24.9,18.7,10.5,0.7,10.4,14.1,28.6,2.7,2.2,4.9,0.241,3.9,8,11.9,A.J. Hammons,aj-hammons-1
Career,Purdue,,132,95,3201,25.5,0.574,0.541,0.02,0.46,1449,11.3,21.7,16.6,7.5,0.9,11.2,16.4,26.2,7,6.8,13.8,0.173,1.1,6.8,8,A.J. Hammons,aj-hammons-1
2006-07,UConn,Big East,31,23,742,,0.479,0.434,0.344,0.391,,,,,,,,17.2,,0.3,2.1,2.3,0.127,,,,A.J. Price,aj-price-1
2007-08,UConn,Big East,33,33,1060,,0.551,0.508,0.385,0.388,,,,,,,,15.3,,2.1,1.9,4,0.15,,,,A.J. Price,aj-price-1
2008-09,UConn,Big East,35,35,1112,,0.538,0.506,0.489,0.309,,,,5.8,28.2,,0,16.4,25.1,2.1,1.9,4,0.144,,,,A.J. Price,aj-price-1
Career,UConn,,99,91,2914,,0.528,0.489,0.417,0.357,,,,5.8,28.2,,0,16.2,25.1,4.4,5.9,10.3,0.142,,,,A.J. Price,aj-price-1
2003-04,Oregon,Pac-10,21,18,541,,0.523,0.484,0.613,0.266,,,,,,,,26,,0.5,0.2,0.7,0.054,,,,Aaron Brooks,aaron-brooks-1
2004-05,Oregon,Pac-10,27,26,893,,0.575,0.517,0.476,0.374,,,,6,29.1,,0.3,20.1,24.5,2.2,0.6,2.8,0.127,,,,Aaron Brooks,aaron-brooks-1
2005-06,Oregon,Pac-10,32,31,1036,,0.533,0.486,0.473,0.311,,,,6.6,26.3,,0.4,19.4,20.5,1.4,1.5,2.9,0.11,,,,Aaron Brooks,aaron-brooks-1
2006-07,Oregon,Pac-10,35,35,1289,,0.589,0.546,0.428,0.294,,,,7,24,,0.3,14.4,24.4,3.6,2.2,5.7,0.178,,,,Aaron Brooks,aaron-brooks-1
Career,Oregon,,115,110,3759,,0.565,0.518,0.471,0.315,,,,6.6,26.2,,0.3,18.5,23.2,7.7,4.5,12.2,0.129,,,,Aaron Brooks,aaron-brooks-1
2013-14,Arizona,Pac-12,38,38,1187,20.4,0.503,0.516,0.118,0.471,469,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,2.8,6.7,9.6,Aaron Gordon,aaron-gordon-1
Career,Arizona,,38,38,1187,20.4,0.503,0.516,0.118,0.471,469,10.4,19.3,14.9,13,1.8,3.4,10.5,23.2,2.1,3.3,5.4,0.183,2.8,6.7,9.6,Aaron Gordon,aaron-gordon-1
2003-04,Pitt,Big East,15,0,88,,0.557,0.55,0,0.35,,,,15,13.9,,2.5,11.4,16,0.1,0.3,0.4,0.193,,,,Aaron Gray,aaron-gray-1
2004-05,Pitt,Big East,29,0,336,,0.59,0.576,0,0.541,,,,14.6,12.3,,3.5,21.9,20.7,0.8,0.9,1.7,0.204,,,,Aaron Gray,aaron-gray-1
2005-06,Pitt,Big East,33,33,920,,0.557,0.526,0,0.576,,,,21.6,14.6,,3.8,17.6,27.3,2.2,3.9,6.1,0.265,,,,Aaron Gray,aaron-gray-1
2006-07,Pitt,Big East,36,35,1016,,0.567,0.565,0,0.46,,,,,,,,11.1,,2.5,4.2,6.8,0.266,,,,Aaron Gray,aaron-gray-1
Career,Pitt,,113,68,2360,,0.565,0.55,0,0.513,,,,19.4,14,,3.7,15.2,24.9,5.6,9.4,15,0.254,,,,Aaron Gray,aaron-gray-1
2013-14,Kentucky,SEC,40,40,1303,17.1,0.555,0.499,0.423,0.428,505,2.3,7.8,5.2,11.6,2,0.9,11.6,21.4,3.3,1.7,5.1,0.155,5.4,1.5,6.9,Aaron Harrison,aaron-harrison-1
2014-15,Kentucky,SEC,39,38,1004,17.9,0.514,0.474,0.505,0.273,382,1.9,9.2,5.8,11.1,2.7,0.6,7.7,23.6,2.5,2.6,5.2,0.205,5.2,3.6,8.8,Aaron Harrison,aaron-harrison-1
Career,Kentucky,,79,78,2307,17.4,0.536,0.487,0.462,0.355,888,2.1,8.4,5.4,11.4,2.3,0.8,9.9,22.4,5.9,4.3,10.2,0.177,5.3,2.4,7.7,Aaron Harrison,aaron-harrison-1
2015-16,UCLA,Pac-12,32,32,1013,11.4,0.5,0.462,0.322,0.304,351,2,7.8,5,21.1,2.5,0.8,21.8,19.9,0.5,0.9,1.4,0.054,0.9,1.9,2.7,Aaron Holiday,aaron-holiday-1
2016-17,UCLA,Pac-12,36,0,952,18.8,0.61,0.571,0.417,0.359,462,1.5,9.5,5.9,24.3,2.2,0.6,19.4,22.5,2.5,1.1,3.6,0.15,4.4,0.6,5,Aaron Holiday,aaron-holiday-1
2017-18,UCLA,Pac-12,33,33,1244,21.1,0.609,0.557,0.446,0.417,686,1.6,8.7,5.3,29.9,1.9,0.7,18.5,26.7,3.7,1.2,4.9,0.157,6.4,-0.1,6.2,Aaron Holiday,aaron-holiday-1
Career,UCLA,,101,65,3209,17.4,0.58,0.535,0.404,0.37,1499,1.7,8.7,5.4,25.5,2.2,0.7,19.6,23.3,6.7,3.2,9.8,0.122,4.1,0.7,4.8,Aaron Holiday,aaron-holiday-1
2005-06,Duquesne,A-10,27,21,836,,0.511,0.472,0.306,0.25,,,,5.9,22.2,,0.2,23.8,14.3,0.5,0,0.5,0.024,,,,Aaron Jackson,aaron-jackson-1
2006-07,Duquesne,A-10,29,23,912,,0.589,0.57,0.376,0.3,,,,,,,,19.1,,1.6,0.3,1.9,0.085,,,,Aaron Jackson,aaron-jackson-1
2007-08,Duquesne,A-10,30,23,793,,0.606,0.58,0.259,0.316,,,,8,22.8,,0.2,19.3,15.4,1.6,1.2,2.8,0.142,,,,Aaron Jackson,aaron-jackson-1
2008-09,Duquesne,A-10,34,34,1249,,0.654,0.611,0.281,0.455,,,,8.7,31.4,,0.2,17,23.8,5.1,1.1,6.1,0.196,,,,Aaron Jackson,aaron-jackson-1
Career,Duquesne,,120,101,3790,,0.608,0.573,0.303,0.359,,,,7.7,26.4,,0.2,19,18.7,8.8,2.6,11.4,0.12,,,,Aaron Jackson,aaron-jackson-1
1991-92,Temple,A-10,28,28,1011,,0.548,0.503,0.437,0.38,,,,,,,,11.5,,,,,,,,,Aaron McKie,aaron-mckie-1
1992-93,Temple,A-10,33,,1272,,0.54,0.502,0.353,0.281,,,,,,,,11,,,,,,,,,Aaron McKie,aaron-mckie-1
1993-94,Temple,A-10,31,,1214,,0.519,0.463,0.331,0.349,,,,,,,,8.5,,,,,,,,,Aaron McKie,aaron-mckie-1
Career,Temple,,92,28,3497,,0.534,0.488,0.364,0.328,,,,,,,,10.2,,,,,,,,,Aaron McKie,aaron-mckie-1
2001-02,Kansas,Big 12,37,36,1017,,0.496,0.433,0.2,0.387,,,,,,,,29.6,,0.6,1.7,2.3,0.091,,,,Aaron Miles,aaron-miles-1
2002-03,Kansas,Big 12,38,38,1170,,0.498,0.449,0.336,0.356,,,,,,,,26.5,,0.8,3.2,4,0.135,,,,Aaron Miles,aaron-miles-1
2003-04,Kansas,Big 12,33,33,1117,,0.503,0.458,0.337,0.414,,,,6,37.1,,0.2,23,16.7,0.9,2.1,3,0.107,,,,Aaron Miles,aaron-miles-1
2004-05,Kansas,Big 12,30,30,992,,0.611,0.564,0.426,0.452,,,,6,38.2,,0.7,28.7,16.2,2.1,2,4.1,0.166,,,,Aaron Miles,aaron-miles-1
Career,Kansas,,138,137,4296,,0.522,0.47,0.322,0.397,,,,6,37.6,,0.4,26.8,16.5,4.3,9,13.4,0.125,,,,Aaron Miles,aaron-miles-1
1989-90,Xavier,MW Coll,28,1,278,,0.549,0.574,0,0.426,,,,,,,,21,,,,,,,,,Aaron Williams,aaron-williams-1
1990-91,Xavier,MW Coll,32,,858,,0.565,0.536,0,0.325,,,,,,,,24.1,,,,,,,,,Aaron Williams,aaron-williams-1
1991-92,Xavier,MW Coll,27,,786,,0.611,0.585,0,0.447,,,,,,,,18.1,,,,,,,,,Aaron Williams,aaron-williams-1
1992-93,Xavier,MW Coll,30,,843,,0.587,0.543,0,0.402,,,,,,,,19.4,,,,,,,,,Aaron Williams,aaron-williams-1
Career,Xavier,,117,1,2765,,0.586,0.556,0,0.394,,,,,,,,20.6,,,,,,,,,Aaron Williams,aaron-williams-1
2011-12,Northern Illinois,MAC,31,29,750,10,0.426,0.39,0.349,0.263,294,4.2,19.2,10.8,13.4,1.8,3.9,19.3,33,-0.9,0.6,-0.4,-0.019,-5.5,-1.4,-6.9,Abdel Nader,abdel-nader-1
2012-13,Northern Illinois,MAC,19,18,483,14.6,0.426,0.386,0.356,0.216,224,6.3,25.5,14.2,12.5,3.3,3.2,17.3,38.8,-0.6,0.8,0.2,0.02,-3.9,0.2,-3.7,Abdel Nader,abdel-nader-1
2014-15,Iowa State,Big 12,32,0,524,12.2,0.488,0.45,0.406,0.253,179,5,14.5,10,7.8,1.3,3,16.3,21.9,0.2,0.8,1,0.074,-0.5,1.8,1.3,Abdel Nader,abdel-nader-1
2015-16,Iowa State,Big 12,35,35,1088,15.8,0.583,0.555,0.415,0.315,415,2.9,14.3,9,8,1.9,2.1,16.9,21.5,1.5,1.4,2.8,0.104,2.6,1.8,4.5,Abdel Nader,abdel-nader-1
Career,Overall,,117,82,2845,13.4,0.484,0.448,0.38,0.266,1112,4.2,17.5,10.6,10.2,2,2.9,17.7,27.5,0.2,3.5,3.7,0.052,-1.2,0.7,-0.5,Abdel Nader,abdel-nader-1
2003-04,Texas A&M,Big 12,27,12,624,,0.46,0.415,0.263,0.278,,,,5.1,33.6,,0,19.1,20.6,0,0.6,0.6,0.041,,,,Acie Law,acie-law-1
2004-05,Texas A&M,Big 12,31,30,941,,0.569,0.542,0.257,0.31,,,,,,,,20.7,,2.1,1.3,3.4,0.143,,,,Acie Law,acie-law-1
2005-06,Texas A&M,Big 12,30,30,1042,,0.538,0.496,0.289,0.327,,,,,,,,14.2,,2,1.7,3.8,0.145,,,,Acie Law,acie-law-1
2006-07,Texas A&M,Big 12,34,34,1153,,0.591,0.544,0.192,0.428,,,,6,30.8,,0.1,14.5,27.8,3.8,2.1,5.9,0.203,,,,Acie Law,acie-law-1
Career,Texas A&M,,122,106,3760,,0.551,0.51,0.246,0.35,,,,5.7,31.8,,0,16.5,25.3,7.9,5.7,13.6,0.145,,,,Acie Law,acie-law-1
2003-04,Gonzaga,WCC,31,1,644,,0.591,0.564,0.217,0.326,,,,,,,,10.8,,2,1.1,3.2,0.196,,,,Adam Morrison,adam-morrison-1
2004-05,Gonzaga,WCC,31,29,1059,,0.57,0.539,0.262,0.291,,,,9.4,17.4,,0.9,9.1,26.7,2.9,1.2,4.1,0.156,,,,Adam Morrison,adam-morrison-1
2005-06,Gonzaga,WCC,33,32,1205,,0.605,0.556,0.28,0.504,,,,,,,,9,,5.5,1.2,6.8,0.225,,,,Adam Morrison,adam-morrison-1
Career,Gonzaga,,95,62,2908,,0.591,0.552,0.262,0.397,,,,9.4,17.4,,0.9,9.4,26.7,10.5,3.6,14.1,0.193,,,,Adam Morrison,adam-morrison-1
1994-95,Colgate,Patriot,30,,1063,,0.553,0.559,0,0.514,,,,,,,,17.6,,,,,,,,,Adonal Foyle,adonal-foyle-1
1995-96,Colgate,Patriot,29,,1060,,0.516,0.517,0.007,0.599,,,,,,,,16.8,,1.7,2.2,3.9,0.149,,,,Adonal Foyle,adonal-foyle-1
1996-97,Colgate,Patriot,28,,1055,,0.555,0.566,0.014,0.533,,,,,,,,16,,3.3,2.7,6,0.227,,,,Adonal Foyle,adonal-foyle-1
Career,Colgate,,87,,3178,,0.541,0.548,0.008,0.55,,,,,,,,16.7,,5,5,9.9,0.125,,,,Adonal Foyle,adonal-foyle-1
2011-12,Memphis,CUSA,19,8,455,15.9,0.555,0.539,0.264,0.171,148,4.1,12.3,8.5,6.5,1.4,3.2,13.7,20.1,0.7,0.7,1.4,0.12,1.3,1.9,3.2,Adonis Thomas,adonis-thomas-1
2012-13,Memphis,CUSA,36,36,1056,15.6,0.482,0.439,0.232,0.295,409,6.1,12,9,12.4,1.3,2.4,11.7,22.9,1.7,1.5,3.2,0.123,-0.1,1.1,1,Adonis Thomas,adonis-thomas-1
Career,Memphis,,55,44,1511,15.7,0.501,0.466,0.241,0.262,557,5.5,12.1,8.9,10.6,1.3,2.7,12.2,22.1,2.4,2.2,4.6,0.122,0.3,1.4,1.7,Adonis Thomas,adonis-thomas-1
2010-11,Michigan State,Big Ten,34,6,306,15.3,0.48,0.472,0.014,0.486,85,11.8,18.4,15.1,3.4,1.8,9.9,19.2,18.4,0.1,0.6,0.7,0.086,-3,6,3,Adreian Payne,adreian-payne-1
2011-12,Michigan State,Big Ten,37,36,661,21.9,0.602,0.569,0.012,0.514,238,11,18.1,14.6,3.6,2.3,6.9,15.3,20,1.6,1.6,3.3,0.198,2.1,5.7,7.8,Adreian Payne,adreian-payne-1
2012-13,Michigan State,Big Ten,36,24,922,24,0.63,0.578,0.167,0.418,351,10.1,26.4,18.3,6.3,1.8,5.6,17.5,20.7,2.6,2.3,4.9,0.214,3.9,5.4,9.3,Adreian Payne,adreian-payne-1
2013-14,Michigan State,Big Ten,31,28,870,25.1,0.607,0.565,0.294,0.39,443,6.8,22.9,15.2,10.2,1,3.8,13.1,28.9,2.7,1.7,4.3,0.2,4.5,2.1,6.6,Adreian Payne,adreian-payne-1
Career,Michigan State,,138,94,2759,22.9,0.601,0.562,0.175,0.432,1118,9.5,22.4,16.1,6.6,1.7,5.8,15.4,22.9,7,6.2,13.2,0.192,2.9,4.5,7.4,Adreian Payne,adreian-payne-1
1992-93,Seton Hall,Big East,35,1,465,,0.53,0.506,0.023,0.609,,,,,,,,24.3,,,,,,,,,Adrian Griffin,adrian-griffin-1
1993-94,Seton Hall,Big East,30,,893,,0.511,0.478,0.027,0.563,,,,,,,,14.5,,,,,,,,,Adrian Griffin,adrian-griffin-1
1994-95,Seton Hall,Big East,30,,949,,0.592,0.563,0.06,0.358,,,,,,,,14.9,,,,,,,,,Adrian Griffin,adrian-griffin-1
1995-96,Seton Hall,Big East,28,,983,,0.53,0.5,0.1,0.368,,,,,,,,14.5,,1.9,1.8,3.7,0.149,,,,Adrian Griffin,adrian-griffin-1
Career,Seton Hall,,123,1,3290,,0.544,0.515,0.067,0.425,,,,,,,,15.5,,1.9,1.8,3.7,0.045,,,,Adrian Griffin,adrian-griffin-1
2004-05,Florida,SEC,32,25,730,,0.516,0.48,0,0.772,,,,16.9,6.7,,5.2,15.2,14.3,0.5,2.7,3.2,0.176,,,,Al Horford,al-horford-1
2005-06,Florida,SEC,39,39,1011,,0.615,0.608,0.007,0.495,,,,17.2,15.1,,4.7,17.1,21.7,3,3.4,6.4,0.252,,,,Al Horford,al-horford-1
2006-07,Florida,SEC,38,36,1057,,0.624,0.608,0.007,0.66,,,,,,,,14.5,,3.5,4,7.5,0.283,,,,Al Horford,al-horford-1
Career,Florida,,109,100,2798,,0.601,0.586,0.006,0.613,,,,17,11.6,,4.9,15.6,18.6,7,10,17.1,0.244,,,,Al Horford,al-horford-1
2003-04,Florida State,ACC,30,0,238,,0.539,0.543,0.121,0.724,,,,,,,,16.1,,0.3,0.5,0.8,0.142,,,,Al Thornton,al-thornton-1
2004-05,Florida State,ACC,29,4,522,,0.556,0.554,0.075,0.57,,,,14.6,9.3,,2.5,14.5,26.9,1.2,0.6,1.8,0.141,,,,Al Thornton,al-thornton-1
2005-06,Florida State,ACC,30,30,871,,0.593,0.548,0.127,0.497,,,,14.7,9.1,,0.8,15.2,26.9,2.8,1.5,4.3,0.197,,,,Al Thornton,al-thornton-1
2006-07,Florida State,ACC,35,35,1092,,0.616,0.57,0.176,0.457,,,,14.6,5,,2.7,13.5,30,4.5,2.1,6.6,0.241,,,,Al Thornton,al-thornton-1
Career,Florida State,,124,69,2723,,0.593,0.559,0.139,0.505,,,,14.6,7.3,,2,14.4,28.3,8.9,4.6,13.6,0.199,,,,Al Thornton,al-thornton-1
2008-09,Wake Forest,ACC,31,30,899,,0.564,0.528,0.138,0.537,,,,,,,,18.6,,1.9,2.2,4.1,0.182,,,,Al-Farouq Aminu,al-farouq-aminu-1
2009-10,Wake Forest,ACC,31,30,970,,0.524,0.471,0.176,0.532,488,14.6,20.5,17.6,9.1,2.6,4.5,17.4,27.5,2,2.2,4.3,0.176,,,,Al-Farouq Aminu,al-farouq-aminu-1
Career,Wake Forest,,62,60,1869,,0.541,0.495,0.16,0.534,488,14.6,20.5,17.6,9.1,2.6,4.5,17.9,27.5,3.9,4.4,8.3,0.179,,,,Al-Farouq Aminu,al-farouq-aminu-1
2001-02,Michigan State,Big Ten,31,23,759,,0.533,0.456,0.034,0.584,,,,10.2,12.7,,0.3,27.2,17.9,0.8,0.9,1.7,0.092,,,,Alan Anderson,alan-anderson-1
2002-03,Michigan State,Big Ten,32,28,883,,0.621,0.514,0.073,0.849,,,,8.2,24.7,,0.7,24.2,19.8,2.5,1.4,3.9,0.178,,,,Alan Anderson,alan-anderson-1
2003-04,Michigan State,Big Ten,30,26,861,,0.583,0.518,0.287,0.521,,,,7.4,21.3,,0.5,28.5,18.5,1.5,0.4,1.9,0.089,,,,Alan Anderson,alan-anderson-1
2004-05,Michigan State,Big Ten,33,33,877,,0.663,0.603,0.243,0.485,,,,12.9,12.4,,0.6,14.1,22,3.6,1.7,5.3,0.24,,,,Alan Anderson,alan-anderson-1
Career,Michigan State,,126,110,3380,,0.61,0.535,0.172,0.598,,,,9.7,18,,0.5,22.7,19.6,8.4,4.4,12.9,0.152,,,,Alan Anderson,alan-anderson-1
1991-92,Indiana,Big Ten,33,26,783,,0.54,0.51,0.013,0.407,,,,17.3,4.1,,5.8,8.3,23.6,,,,,,,,Alan Henderson,alan-henderson-1
1992-93,Indiana,Big Ten,30,25,737,,0.519,0.489,0.022,0.423,,,,,,,,12.3,,,,,,,,,Alan Henderson,alan-henderson-1
1993-94,Indiana,Big Ten,30,,983,,0.566,0.534,0.016,0.555,,,,,,,,11.3,,,,,,,,,Alan Henderson,alan-henderson-1
1994-95,Indiana,Big Ten,31,,1093,,0.612,0.599,0.021,0.527,,,,,,,,13,,,,,,,,,Alan Henderson,alan-henderson-1
Career,Indiana,,124,51,3596,,0.568,0.542,0.018,0.49,,,,17.3,4.1,,5.8,11.5,23.6,,,,,,,,Alan Henderson,alan-henderson-1
2011-12,UCSB,Big West,30,20,514,28,0.534,0.51,0,0.542,226,22.5,22.1,22.3,6,1.8,8.1,9.3,21.9,1.9,0.9,2.8,0.218,2.3,1.9,4.2,Alan Williams,alan-williams-2
2012-13,UCSB,Big West,28,28,793,31,0.524,0.469,0,0.488,448,17,29.7,23.2,8.9,2.3,9.4,12.6,35,2.3,1.5,3.8,0.193,-0.5,3.5,3,Alan Williams,alan-williams-2
2013-14,UCSB,Big West,28,28,872,35.7,0.57,0.533,0,0.514,543,15.6,27.3,21.9,11,2.4,9,10.1,36.5,3.4,2.2,5.6,0.259,2.8,3.9,6.7,Alan Williams,alan-williams-2
2014-15,UCSB,Big West,26,26,847,29.5,0.524,0.458,0.009,0.481,436,12.3,31.6,22,12.9,2.3,6.5,10.6,30.9,2.6,2.1,4.7,0.22,1.3,4.5,5.8,Alan Williams,alan-williams-2
Career,UCSB,,112,102,3026,31.4,0.54,0.492,0.002,0.501,1653,16.2,28.3,22.3,10.1,2.2,8.3,10.9,32,10.1,6.8,16.9,0.224,1.4,3.6,5.1,Alan Williams,alan-williams-2
2002-03,Wisconsin,Big Ten,32,27,1016,,0.596,0.567,0.222,0.498,,,,,,,,11.3,,2.6,2.3,4.9,0.192,,,,Alando Tucker,alando-tucker-1
2003-04,Wisconsin,Big Ten,4,2,83,,0.644,0.621,0.212,0.667,,,,13.9,3.4,,0,10.3,32.3,0.5,0.2,0.7,0.325,,,,Alando Tucker,alando-tucker-1
2004-05,Wisconsin,Big Ten,31,30,983,,0.561,0.519,0.219,0.548,,,,11.7,12.8,,0.2,12.5,26.6,2.5,1.8,4.3,0.175,,,,Alando Tucker,alando-tucker-1
2005-06,Wisconsin,Big Ten,31,31,1034,,0.489,0.47,0.139,0.476,,,,9.8,12.6,,0.5,9.5,32.4,0.8,1.8,2.6,0.102,,,,Alando Tucker,alando-tucker-1
2006-07,Wisconsin,Big Ten,36,36,1181,,0.54,0.506,0.226,0.457,,,,10.2,16.1,,0.7,8.3,32.8,2.9,3.1,5.9,0.201,,,,Alando Tucker,alando-tucker-1
Career,Wisconsin,,134,126,4297,,0.54,0.51,0.198,0.491,,,,10.6,13.7,,0.4,10,30.8,9.3,9.2,18.4,0.172,,,,Alando Tucker,alando-tucker-1
2009-10,Colorado,Big 12,30,30,907,25.8,0.622,0.567,0.169,0.603,489,8.3,12.2,10.3,13.6,2.2,1.4,12.3,27.1,3.6,0.6,4.2,0.186,,,,Alec Burks,alec-burks-1
2010-11,Colorado,Big 12,38,37,1193,29.4,0.574,0.495,0.179,0.564,771,9.2,14.8,12.1,19.6,2,1,12.7,32.3,5.6,1,6.6,0.221,7.3,-0.1,7.2,Alec Burks,alec-burks-1
Career,Colorado,,68,67,2100,27.8,0.592,0.522,0.175,0.579,1260,8.8,13.7,11.3,17,2.1,1.2,12.6,30,9.2,1.6,10.8,0.206,7.3,-0.1,7.2,Alec Burks,alec-burks-1
2013-14,Valparaiso,Horizon,34,34,1006,17.9,0.608,0.581,0.475,0.28,389,4.4,14.1,9.8,11.1,1.7,0.5,15.4,22,2.2,1.5,3.6,0.145,2.4,-0.7,1.8,Alec Peters,alec-peters-1
2014-15,Valparaiso,Horizon,34,34,1039,27.1,0.627,0.593,0.446,0.293,501,7.5,17.8,12.9,9.5,1.4,1.3,9.7,25.7,4.6,2.1,6.7,0.257,6.6,-0.1,6.5,Alec Peters,alec-peters-1
2015-16,Valparaiso,Horizon,37,37,1186,27.2,0.651,0.607,0.468,0.378,605,8.8,19.5,14.3,9,1.3,1,10.8,24.3,5.1,2.8,7.9,0.268,6.8,1.7,8.5,Alec Peters,alec-peters-1
2016-17,Valparaiso,Horizon,29,29,1019,28.7,0.594,0.528,0.342,0.415,625,8.5,23.3,16.2,14.8,1.3,1.2,11.2,30.8,4.2,1.9,6.1,0.241,6,0.5,6.4,Alec Peters,alec-peters-1
Career,Valparaiso,,134,134,4250,25.3,0.621,0.576,0.428,0.349,2121,7.4,18.7,13.3,11,1.4,1,11.6,25.6,16.1,8.3,24.4,0.23,5.5,0.4,5.9,Alec Peters,alec-peters-1
2002-03,Pepperdine,WCC,28,23,931,,0.578,0.53,0.253,0.361,,,,,,,,19.4,,1.8,0.6,2.4,0.104,,,,Alex Acker,alex-acker-1
2003-04,Pepperdine,WCC,29,26,940,,0.549,0.502,0.283,0.349,,,,,,,,16.8,,1.6,0.9,2.5,0.108,,,,Alex Acker,alex-acker-1
2004-05,Pepperdine,WCC,31,31,1152,,0.564,0.522,0.337,0.26,,,,9.5,19.9,,0.9,15.2,22.2,2.5,1.5,4,0.14,,,,Alex Acker,alex-acker-1
Career,Pepperdine,,88,80,3023,,0.563,0.518,0.297,0.315,,,,9.5,19.9,,0.9,16.9,22.2,5.9,3.1,9,0.119,,,,Alex Acker,alex-acker-1
2012-13,Texas A&M,SEC,33,17,815,13.7,0.451,0.413,0.295,0.452,225,3.9,13.9,8.6,27.9,4.9,2.3,27.1,18.7,0.1,1.6,1.6,0.08,0.3,5.1,5.4,Alex Caruso,alex-caruso-1
2013-14,Texas A&M,SEC,34,33,1013,18.5,0.553,0.513,0.321,0.496,352,1.7,12.1,7,36.7,4.3,3.3,23.3,19.4,1.2,2.5,3.7,0.146,2,5.3,7.3,Alex Caruso,alex-caruso-1
2014-15,Texas A&M,SEC,33,33,1038,17.8,0.552,0.52,0.31,0.402,356,2.8,14.1,8.6,34.8,4.1,0.3,26.8,19,1.4,2.2,3.5,0.136,3.2,4.4,7.6,Alex Caruso,alex-caruso-1
2015-16,Texas A&M,SEC,37,37,1067,18.2,0.598,0.566,0.344,0.294,362,4.1,9.5,6.8,31.1,4.2,1.6,25.7,15.6,1.9,2.4,4.4,0.163,4.4,6,10.4,Alex Caruso,alex-caruso-1
Career,Texas A&M,,137,120,3933,17.2,0.543,0.509,0.319,0.408,1295,3.1,12.3,7.7,32.9,4.3,1.8,25.7,18.1,4.6,8.6,13.2,0.135,2.6,5.2,7.8,Alex Caruso,alex-caruso-1
2010-11,New Mexico,MWC,34,21,509,14.7,0.524,0.507,0.265,0.272,149,8.2,20.8,14.7,4.8,1.1,4.5,13.5,17.8,0.7,0.9,1.6,0.125,-0.3,3.1,2.7,Alex Kirk,alex-kirk-2
2012-13,New Mexico,MWC,35,33,1018,21.9,0.555,0.514,0.148,0.431,389,10.2,24.3,17.2,4.3,0.9,7.4,11.7,23,2.3,2.2,4.5,0.177,0.9,4.4,5.3,Alex Kirk,alex-kirk-2
2013-14,New Mexico,MWC,32,32,1025,20.7,0.536,0.507,0.166,0.365,396,8.9,21.1,15.5,7.5,0.7,8.8,12.6,23.2,1.7,2.2,3.8,0.149,0,5.2,5.3,Alex Kirk,alex-kirk-2
Career,New Mexico,,101,86,2552,20,0.542,0.51,0.176,0.375,934,9.3,22.3,16,5.7,0.9,7.4,12.4,22.1,4.6,5.3,9.9,0.155,0.3,4.5,4.8,Alex Kirk,alex-kirk-2
2011-12,Maryland,ACC,22,11,466,17,0.565,0.553,0.011,0.489,131,8.8,21.7,15.1,6,0.5,10,22.2,16.2,0.5,0.6,1.1,0.09,-1.2,5,3.8,Alex Len,alex-len-1
2012-13,Maryland,ACC,38,37,1004,24.5,0.57,0.535,0.025,0.472,434,13.2,21,17.2,7.8,0.5,8,13.1,22.8,3,2,5,0.2,2.7,5.3,8,Alex Len,alex-len-1
Career,Maryland,,60,48,1470,22.1,0.569,0.539,0.022,0.476,565,11.8,21.2,16.5,7.2,0.5,8.6,15.4,20.7,3.5,2.6,6.1,0.165,1.5,5.2,6.6,Alex Len,alex-len-1
2012-13,Kentucky,SEC,33,31,852,19.8,0.636,0.611,0.144,0.576,339,8.9,18.1,13.7,5.2,0.6,1.6,18.5,21.4,2.3,1.2,3.5,0.165,2.9,-0.2,2.7,Alex Poythress,alex-poythress-1
2013-14,Kentucky,SEC,40,0,734,16.5,0.544,0.52,0.186,0.452,235,11.6,16.3,14,4.6,1,4,15,17.2,1.3,1.2,2.5,0.136,2.5,2.9,5.4,Alex Poythress,alex-poythress-1
2014-15,Kentucky,SEC,8,8,162,13.4,0.452,0.381,0.167,0.333,44,9.4,12,10.8,2.3,1.5,7.9,14.1,18.3,0.1,0.5,0.6,0.146,-0.6,7.1,6.6,Alex Poythress,alex-poythress-1
2015-16,Kentucky,SEC,31,23,732,21.3,0.643,0.619,0.116,0.515,284,8.8,19.2,14.3,2.5,1.5,2.8,13.1,19.2,2.1,1.4,3.5,0.193,4,2.2,6.2,Alex Poythress,alex-poythress-1
