SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,PLAYER,SPORTS_REF_ID
Career,Northwestern,,95,63,1923,15.7,0.578,0.536,0.45,0.417,617,4.2,14.1,8.9,11.4,2,1.3,15.9,20.3,3.3,1.3,4.6,0.095,2.7,0.4,3.1,Reggie Hearn,reggie-hearn-1
2008-09,Boston College,ACC,34,0,680,,0.509,0.483,0.319,0.261,,,,9.2,16.9,,1.6,15.3,19.7,0.6,1.2,1.8,0.105,,,,Reggie Jackson,reggie-jackson-1
2009-10,Boston College,ACC,31,20,934,20.2,0.516,0.478,0.326,0.312,428,7.5,14.7,11.1,30.5,1.2,1.5,17.1,25.4,2.3,1.1,3.4,0.145,,,,Reggie Jackson,reggie-jackson-1
2010-11,Boston College,ACC,34,32,1161,26.9,0.618,0.585,0.389,0.315,609,3.9,11.3,7.8,29.7,1.9,1.7,13.9,27.2,5,0.6,5.6,0.193,9,0.2,9.1,Reggie Jackson,reggie-jackson-1
Career,Boston College,,99,52,2775,23.9,0.56,0.527,0.352,0.302,1037,5.5,12.8,9.2,26.8,1.6,1.6,15.3,24.8,7.9,2.9,10.8,0.156,9,0.2,9.1,Reggie Jackson,reggie-jackson-1
1983-84,UCLA,Pac-10,28,0,384,,0.527,,,0.255,,,,,,,,17.4,,,,,,,,,Reggie Miller,reggie-miller-1
1984-85,UCLA,Pac-10,33,32,1174,,0.603,,,0.427,,,,,,,,12.9,,,,,,,,,Reggie Miller,reggie-miller-1
1985-86,UCLA,Pac-10,29,29,1112,,0.623,,,0.465,,,,,,,,10.3,,,,,,,,,Reggie Miller,reggie-miller-1
1986-87,UCLA,Pac-10,32,32,1166,,0.659,0.619,0.345,0.393,,,,,,,,10.1,,,,,,,,,Reggie Miller,reggie-miller-1
Career,UCLA,,122,93,3836,,0.623,,0.112,0.416,,,,,,,,11.5,,,,,,,,,Reggie Miller,reggie-miller-1
2004-05,VMI,Big South,27,26,948,,0.519,0.478,0.331,0.275,398,3.6,,7.7,16.7,,0.4,11.8,24,1.3,0.7,2,0.085,,,,Reggie Williams,reggie-williams-3
2005-06,VMI,Big South,27,25,893,,0.569,0.522,0.374,0.452,,,,11.3,17.5,,0.3,14.4,27.6,2.5,0.5,3,0.135,,,,Reggie Williams,reggie-williams-3
2006-07,VMI,Big South,33,33,1070,,0.608,0.591,0.374,0.42,,,,,,,,11.4,,4.2,1.6,5.8,0.217,,,,Reggie Williams,reggie-williams-3
2007-08,VMI,Big South,25,21,878,,0.589,0.571,0.303,0.334,,,,,,,,11.4,,3.2,1.8,4.9,0.224,,,,Reggie Williams,reggie-williams-3
Career,VMI,,112,105,3789,,0.579,0.55,0.346,0.375,398,3.6,,9.5,17.1,,0.3,12.1,25.7,11.3,4.5,15.8,0.167,,,,Reggie Williams,reggie-williams-3
2003-04,South Carolina,SEC,33,8,600,,0.571,0.577,0.147,0.485,,,,13.9,16.5,,5.2,23.3,22,1.3,2.6,3.9,0.263,,,,Renaldo Balkman,renaldo-balkman-1
2004-05,South Carolina,SEC,33,10,615,,0.492,0.481,0.113,0.275,,,,15.2,17.9,,2.5,20.3,19.2,0.3,1.8,2.1,0.137,,,,Renaldo Balkman,renaldo-balkman-1
2005-06,South Carolina,SEC,38,22,978,,0.608,0.616,0.052,0.416,,,,15.5,15.8,,3.8,17.8,20.4,2.6,3,5.6,0.23,,,,Renaldo Balkman,renaldo-balkman-1
Career,South Carolina,,104,40,2193,,0.566,0.567,0.096,0.396,,,,15,16.6,,3.8,20.2,20.5,4.3,7.4,11.7,0.213,,,,Renaldo Balkman,renaldo-balkman-1
2002-03,Fresno State,WAC,28,6,635,,0.616,0.565,0.199,0.468,,,,,,,,12.7,,2,1,3,0.188,,,,Renaldo Major,renaldo-major-1
2003-04,Fresno State,WAC,13,7,347,,0.513,0.456,0.254,0.395,,,,,,,,15.1,,0.4,0.4,0.8,0.093,,,,Renaldo Major,renaldo-major-1
