BBREF_ID,SEASON,BLEND,SEASON_PLUS_1,SEASON_PLUS_2,SEASON_PLUS_3,SEASON_PLUS_4,SEASON_PLUS_5,ADVANCED_POSITION_CLUSTER,HEIGHT_PERCENTILE_POSITION,WEIGHT_PERCENTILE_POSITION,AGE_PERCENTILE_POSITION,GAMES_PLAYER_PERCENTILE_POSITION,GAMES_STARTED_PERCENTILE_POSITION,MINUTES_PERCENTILE_POSITION,FG_PERCENTILE_POSITION,FGA_PERCENTILE_POSITION,FG_PERCENT_PERCENTILE_POSITION,THREE_POINT_MADE_PERCENTILE_POSITION,THREE_POINT_ATTEMPT_PERCENTILE_POSITION,THREE_POINT_PERCENT_PERCENTILE_POSITION,TWO_POINT_MADE_PERCENTILE_POSITION,TWO_POINT_ATTEMPT_PERCENTILE_POSITION,TWO_POINT_PERCENT_PERCENTILE_POSITION,EFG_PERCENT_PERCENTILE_POSITION,TRUE_SHOOTING_PERCENT_PERCENTILE_POSITION,FREE_THROW_MADE_PERCENTILE_POSITION,FREE_THROW_ATTEMPT_PERCENTILE_POSITION,FREE_THROW_PERCENT_PERCENTILE_POSITION,OREB_PERCENTILE_POSITION,DRB_PERCENTILE_POSITION,TOTAL_PERCENTILE_POSITION,AST_PERCENTILE_POSITION,STL_PERCENTILE_POSITION,BLK_PERCENTILE_POSITION,TURNOVER_PERCENTILE_POSITION,FOUL_PERCENTILE_POSITION,POINTS_PERCENTILE_POSITION,FG_MADE_PER100_PERCENTILE_POSITION,FG_ATTEMPTED_PER100_PERCENTILE_POSITION,THREE_POINT_MADE_PER100_PERCENTILE_POSITION,THREE_POINT_ATTEMPT_PER100_PERCENTILE_POSITION,TWO_POINT_MADE_PER100_PERCENTILE_POSITION,TWO_POINT_ATTEMPT_PER100_PERCENTILE_POSITION,FREE_THROW_MADE_PER100_PERCENTILE_POSITION,FREE_THROW_ATTEMPT_PER100_PERCENTILE_POSITION,THREE_POINT_ATTEMPT_RATE_PERCENTILE_POSITION,FREE_THROW_RATE_PERCENTILE_POSITION,ORB_PERCENT_PERCENTILE_POSITION,DRB_PERCENT_PERCENTILE_POSITION,TRB_PERCENT_PERCENTILE_POSITION,AST_PERCENT_PERCENTILE_POSITION,STL_PERCENT_PERCENTILE_POSITION,BLK_PERCENT_PERCENTILE_POSITION,TOV_PERCENT_PERCENTILE_POSITION,USG_PERCENT_PERCENTILE_POSITION,OFF_WIN_SHARES_PERCENTILE_POSITION,DEF_WIN_SHARES_PERCENTILE_POSITION,WIN_SHARES_PERCENTILE_POSITION,WIN_SHARRES_PER_48_PERCENTILE_POSITION,OFF_BPM_PERCENTILE_POSITION,DEF_BPM_PERCENTILE_POSITION,BPM_PERCENTILE_POSITION,VORP_PERCENTILE_POSITION
jefferi01,2013-2014,-2.51333333333333,-0.64,-1.8133333333333301,-1.8933333333333302,-3.45333333333333,,Wing,0.377358490566038,0.820754716981132,0.882075471698113,0.9481132075471701,0.933962264150945,0.8160377358490601,0.745283018867927,0.7594339622641529,0.691943127962085,0.867924528301889,0.853773584905663,0.8823529411764699,0.6933962264150961,0.6933962264150961,0.604761904761905,0.8341232227488159,0.81042654028436,0.7735849056603791,0.768867924528303,0.386934673366834,0.339622641509434,0.7028301886792471,0.6509433962264161,0.735849056603775,0.6839622641509439,0.547169811320755,0.7311320754716991,0.8254716981132092,0.768867924528304,0.537735849056604,0.45283018867924496,0.716981132075472,0.5990566037735849,0.41981132075471705,0.339622641509434,0.5518867924528299,0.584905660377359,0.672985781990522,0.6303317535545021,0.0754716981132075,0.34433962264150897,0.18396226415094302,0.580188679245283,0.320754716981132,0.273584905660377,0.523584905660377,0.45754716981132104,0.7783018867924529,0.297169811320755,0.6556603773584909,0.410377358490566,0.688679245283019,0.245283018867925,0.5094339622641509,0.580188679245283
johnsjo02,2013-2014,1.76666666666667,0.6466666666666671,-0.06,-0.613333333333333,-3.96666666666667,,Wing,0.377358490566038,0.9009433962264151,0.8490566037735849,0.8396226415094341,0.957547169811322,0.9103773584905699,0.9339622641509471,0.9292452830188721,0.7109004739336491,0.9433962264150971,0.9386792452830229,0.848039215686274,0.8726415094339649,0.8820754716981171,0.6238095238095239,0.781990521327015,0.7630331753554499,0.830188679245285,0.820754716981134,0.688442211055277,0.6745283018867929,0.7594339622641529,0.740566037735851,0.891509433962266,0.6132075471698121,0.44339622641509396,0.844339622641511,0.6650943396226421,0.9150943396226451,0.849056603773586,0.816037735849058,0.8066037735849059,0.731132075471698,0.764150943396227,0.750000000000001,0.660377358490566,0.627358490566038,0.497630331753554,0.421800947867298,0.311320754716981,0.316037735849057,0.268867924528302,0.8301886792452841,0.136792452830189,0.169811320754717,0.28773584905660404,0.754716981132077,0.938679245283019,0.5518867924528299,0.8537735849056609,0.64622641509434,0.891509433962265,0.160377358490566,0.64622641509434,0.783018867924529
parketo01,2013-2014,1.64,-2.7666666666666697,-0.23333333333333303,-2.10666666666667,-3.8,-3.2933333333333303,Guard,0.30909090909090897,0.245454545454545,0.8,0.572727272727273,0.827272727272726,0.709090909090908,0.8999999999999979,0.854545454545453,0.981651376146788,0.390909090909091,0.390909090909091,0.7407407407407409,0.981818181818179,0.97272727272727,0.926605504587155,0.8807339449541279,0.8256880733944949,0.7909090909090899,0.7999999999999979,0.590476190476191,0.43636363636363595,0.6,0.590909090909091,0.8181818181818171,0.445454545454546,0.6181818181818179,0.7999999999999989,0.48181818181818203,0.8636363636363621,0.9909090909090899,0.9363636363636351,0.0727272727272727,0.0454545454545455,1.0,0.9999999999999979,0.781818181818182,0.7545454545454541,0.018348623853211003,0.5871559633027521,0.15454545454545499,0.163636363636364,0.0909090909090909,0.781818181818181,0.0545454545454545,0.336363636363636,0.229357798165138,0.9090909090909081,0.8999999999999989,0.8,0.8636363636363629,0.881818181818181,0.7636363636363629,0.427272727272727,0.654545454545454,0.718181818181818
randoza01,2013-2014,1.52666666666667,3.53333333333333,-0.926666666666667,-1.6466666666666698,-2.44666666666667,,Big,0.0955414012738854,0.484076433121019,0.8853503184713372,0.789808917197452,0.898089171974522,0.97452229299363,0.9617834394904459,0.968152866242038,0.337579617834395,0.732484076433121,0.8471337579617829,0.52,0.97452229299363,0.97452229299363,0.248407643312102,0.254777070063694,0.331210191082803,0.942675159235669,0.929936305732484,0.655844155844155,0.968152866242038,0.929936305732484,0.9617834394904459,0.929936305732484,0.821656050955414,0.35031847133758,0.9617834394904459,0.853503184713376,0.9554140127388531,0.9044585987261149,0.942675159235669,0.0,0.7452229299363059,0.917197452229299,0.9617834394904459,0.8343949044585991,0.764331210191083,0.7452229299363059,0.394904458598726,0.7197452229299359,0.707006369426752,0.764331210191083,0.8726114649681529,0.420382165605096,0.0509554140127389,0.29299363057324795,0.9235668789808922,0.7770700636942671,0.8789808917197449,0.8471337579617829,0.547770700636943,0.840764331210191,0.3694267515923571,0.662420382165605,0.853503184713376
wallage01,2013-2014,0.146666666666667,-2.08,,,,,Wing,0.377358490566038,0.3867924528301889,0.8301886792452831,0.45754716981132104,0.608490566037736,0.556603773584906,0.44811320754717,0.39622641509434,0.957345971563982,0.334905660377358,0.367924528301887,0.259803921568628,0.5094339622641509,0.45283018867924496,0.9523809523809509,0.838862559241707,0.6303317535545021,0.476415094339623,0.622641509433963,0.0201005025125628,0.60377358490566,0.6462264150943411,0.641509433962265,0.7735849056603791,0.825471698113208,0.547169811320755,0.7641509433962279,0.433962264150943,0.429245283018868,0.0849056603773585,0.0330188679245283,0.174528301886792,0.122641509433962,0.268867924528302,0.14622641509434,0.264150943396226,0.5707547169811321,0.279620853080568,0.9241706161137461,0.462264150943396,0.679245283018868,0.5707547169811321,0.820754716981134,0.89622641509434,0.46698113207547204,0.9858490566037759,0.0754716981132075,0.0707547169811321,0.731132075471698,0.433962264150943,0.30188679245283,0.264150943396226,0.962264150943397,0.632075471698114,0.6745283018867929
watsoea01,2013-2014,-3.36666666666667,,,,,,Guard,0.163636363636364,0.6,0.9090909090909091,0.18181818181818202,0.0,0.12727272727272698,0.0545454545454545,0.0545454545454545,0.055045871559632996,0.1,0.0727272727272727,0.24074074074074103,0.0454545454545455,0.0454545454545455,0.0458715596330275,0.100917431192661,0.256880733944954,0.0909090909090909,0.0909090909090909,1.0,0.21818181818181798,0.1,0.10909090909090899,0.136363636363636,0.11818181818181801,0.163636363636364,0.14545454545454503,0.24545454545454604,0.0727272727272727,0.0363636363636364,0.00909090909090909,0.0727272727272727,0.0818181818181818,0.0454545454545455,0.00909090909090909,0.18181818181818202,0.0909090909090909,0.972477064220182,0.862385321100917,0.9,0.0545454545454545,0.23636363636363603,0.37272727272727296,0.36363636363636404,0.46363636363636407,0.999999999999999,0.00909090909090909,0.209090909090909,0.10909090909090899,0.14545454545454503,0.18181818181818202,0.10909090909090899,0.736363636363636,0.18181818181818202,0.34545454545454496
bryanko01,2013-2014,-0.4866666666666671,-1.33333333333333,-2.55333333333333,,,,Guard,0.954545454545454,0.9818181818181809,0.927272727272727,0.0545454545454545,0.427272727272727,0.136363636363636,0.190909090909091,0.15454545454545499,0.6238532110091739,0.11818181818181801,0.136363636363636,0.0833333333333333,0.23636363636363603,0.209090909090909,0.807339449541284,0.330275229357798,0.48623853211009205,0.281818181818182,0.25454545454545496,0.8,0.10909090909090899,0.21818181818181798,0.18181818181818202,0.18181818181818202,0.136363636363636,0.163636363636364,0.281818181818182,0.0636363636363636,0.2,0.736363636363636,0.718181818181817,0.18181818181818202,0.281818181818182,0.9,0.854545454545454,0.7636363636363629,0.7090909090909091,0.18348623853210996,0.660550458715596,0.21818181818181798,0.927272727272726,0.9090909090909091,0.854545454545453,0.490909090909091,0.46363636363636407,0.9724770642201831,0.98181818181818,0.1,0.10909090909090899,0.0545454545454545,0.0545454545454545,0.136363636363636,0.545454545454546,0.163636363636364,0.26363636363636395
anderch01,2013-2014,3.2,0.24,-0.4533333333333329,-0.553333333333333,,,Big,0.261146496815287,0.337579617834395,0.9554140127388531,0.668789808917197,0.0,0.617834394904459,0.554140127388535,0.471337579617834,0.9617834394904459,0.78343949044586,0.7961783439490451,0.63,0.554140127388535,0.477707006369427,0.9617834394904459,0.9617834394904459,0.980891719745223,0.7133757961783442,0.700636942675159,0.545454545454545,0.681528662420382,0.624203821656051,0.64968152866242,0.29299363057324795,0.598726114649682,0.898089171974522,0.471337579617834,0.630573248407643,0.56687898089172,0.388535031847134,0.229299363057325,0.7452229299363059,0.764331210191083,0.426751592356688,0.248407643312102,0.7515923566878979,0.707006369426752,0.789808917197452,0.8726114649681529,0.78343949044586,0.624203821656051,0.738853503184713,0.0955414012738853,0.464968152866242,0.942675159235669,0.426751592356688,0.254777070063694,0.8726114649681529,0.7261146496815291,0.8343949044585991,0.9617834394904459,0.840764331210191,0.636942675159236,0.8343949044585991,0.7707006369426751
cartevi01,2013-2014,3.35333333333333,-1.33333333333333,-1.06,1.2,-0.506666666666667,-1.28666666666667,Wing,0.23584905660377398,0.495283018867924,0.9905660377358492,0.9056603773584909,0.0,0.7358490566037759,0.7971698113207571,0.8301886792452858,0.33175355450236893,0.924528301886795,0.9150943396226451,0.8088235294117639,0.7311320754717,0.7924528301886821,0.190476190476191,0.5260663507109,0.5829383886255921,0.844339622641511,0.8254716981132099,0.70854271356784,0.8301886792452841,0.7500000000000021,0.7594339622641529,0.8820754716981151,0.7311320754716991,0.858490566037736,0.8113207547169828,0.957547169811323,0.816037735849059,0.754716981132076,0.8301886792452841,0.9009433962264151,0.872641509433963,0.580188679245283,0.6367924528301889,0.801886792452831,0.7594339622641508,0.658767772511849,0.606635071090047,0.641509433962264,0.5094339622641509,0.547169811320755,0.872641509433964,0.533018867924528,0.783018867924528,0.40566037735849103,0.8113207547169828,0.867924528301887,0.660377358490566,0.8113207547169821,0.750000000000001,0.9056603773584909,0.424528301886792,0.849056603773586,0.8349056603773589
crawfja01,2013-2014,-0.3533333333333329,-1.8533333333333302,-2.40666666666667,-3.16,-4.92,-5.77333333333333,Wing,0.089622641509434,0.004716981132075471,0.882075471698113,0.622641509433962,0.641509433962264,0.7783018867924559,0.896226415094343,0.919811320754721,0.412322274881516,0.933962264150946,0.9622641509434,0.5931372549019611,0.8584905660377391,0.86792452830189,0.4428571428571429,0.5165876777251179,0.7298578199052129,0.9481132075471729,0.9386792452830219,0.874371859296484,0.5707547169811321,0.5094339622641509,0.5047169811320751,0.9056603773584929,0.712264150943397,0.5,0.8820754716981151,0.59433962264151,0.933962264150948,0.919811320754718,0.938679245283021,0.9009433962264151,0.9386792452830199,0.768867924528302,0.787735849056605,0.957547169811322,0.929245283018869,0.620853080568721,0.7677725118483419,0.245283018867925,0.0377358490566038,0.0471698113207547,0.8962264150943409,0.391509433962264,0.22169811320754698,0.3867924528301889,0.9433962264150971,0.9198113207547169,0.7075471698113209,0.8773584905660391,0.849056603773586,0.9386792452830199,0.11320754716981098,0.735849056603774,0.783018867924529
