BBREF_ID,SEASON,BLEND,SEASON_PLUS_1,SEASON_PLUS_2,SEASON_PLUS_3,SEASON_PLUS_4,SEASON_PLUS_5,SALARY,SALARY_PROP_CAP,AGE,EXPERIENCE,TEAM,POSITION,GAMES_PLAYED,MINUTES_PLAYED,ON_COURT_PLUS_MINUS,OFF_COURT_PLUS_MINUS,PROP_PG,PROP_SG,PROP_SF,PROP_PF,PROP_C,MINUTES_PG,MINUTES_SG,MINUTES_SF,MINUTES_PF,MINUTES_C,POSITION_MINUTES,POSITION_NUMERIC,ADVANCED_POSITION_CLUSTER,ORPM,DRPM,RPM,WINS
walljo01,2017-2018,1.28,-1.11333333333333,,,,,18063850.0,0.182291887418889,27,8,WAS,PG,41,1410,4.2,5.3,0.99,0.01,0.0,0.0,0.0,1395.9,14.1,0.0,0.0,0.0,PG,1.01,Guard,1.3,-0.13,1.17,3.96
bledser01,2017-2018,2.4,3.62,,,,,14500000.0,0.14632718759145402,28,8,TOT,PG,74,2322,2.3,10.1,1.0,0.01,0.0,0.0,0.0,2322.0,23.22,0.0,0.0,0.0,PG,1.02,Guard,2.49,0.06,2.55,8.45
turneev01,2017-2018,-2.7,-2.2933333333333303,,,,,17131148.0,0.172879497038136,29,8,POR,SF,79,2034,-0.8,-7.7,0.0,0.04,0.93,0.04,0.0,0.0,81.36,1891.62,81.36,0.0,SF,3.03,Wing,-2.37,-0.78,-3.15,-0.03
bradlav01,2017-2018,-3.2066666666666697,-3.1866666666666696,,,,,8808989.0,0.0888961783375213,27,8,TOT,SG,46,1433,-3.5,-4.3,0.07,0.91,0.02,0.0,0.0,100.31,1304.03,28.66,0.0,0.0,SG,1.95,Guard,-2.18,-0.53,-2.71,0.38
stephla01,2017-2018,-2.88666666666667,-2.04,,,,,4180000.0,0.0421825961470538,27,8,IND,SG,82,1850,-2.9,-8.5,0.0,0.38,0.62,0.0,0.0,0.0,703.0,1147.0,0.0,0.0,SF,2.62,Wing,-0.32,-3.01,-3.33,-0.24
johnswe01,2017-2018,-0.4133333333333329,-4.26,,,,,5881260.0,0.0593509127789047,30,8,LAC,SF,74,1486,-0.7,-1.6,0.0,0.01,0.91,0.08,0.0,0.0,14.86,1352.26,118.88,0.0,SF,3.07,Wing,-2.3,1.53,-0.77,2.31
aminual01,2017-2018,1.7,1.4266666666666699,,,,,7319035.0,0.0738602625816153,27,8,POR,PF,69,2072,5.1,4.6,0.0,0.0,0.03,0.96,0.01,0.0,0.0,62.16,1989.12,20.72,PF,3.98,Wing,-0.37,2.37,2.0,6.75
haywago01,2017-2018,-4.98,0.4466666666666671,,,,,29727900.0,0.3,27,8,BOS,SF,1,5,19.1,15.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,PF,4.0,Wing,-1.69,0.22,-1.47,0.01
babbilu01,2017-2018,-2.10666666666667,,,,,,1974159.0,0.0199222851260937,28,8,TOT,SF,50,715,-4.6,-2.3,0.0,0.04,0.22,0.74,0.01,0.0,28.6,157.3,529.1,7.15,PF,3.75,Wing,-0.49,-1.07,-1.56,0.73
georgpa01,2017-2018,2.7666666666666697,6.87333333333333,,,,,19508958.0,0.1968752384124,27,8,OKC,SF,79,2891,3.4,0.2,0.0,0.19,0.81,0.0,0.0,0.0,549.29,2341.71,0.0,0.0,SF,2.81,Wing,2.25,0.65,2.9,11.12
pondequ01,2017-2018,-4.7,-1.3933333333333302,,,,,3853931.0,0.0388920609932084,29,6,CHI,SF,23,196,-24.1,-17.3,0.0,0.03,0.7,0.27,0.0,0.0,5.88,137.2,52.92,0.0,SF,3.24,Wing,-3.23,-0.47,-3.7,-0.07
favorde01,2017-2018,1.25333333333333,3.1666666666666696,,,,,12000000.0,0.12109836214465199,26,8,UTA,C,77,2153,3.9,-1.9,0.0,0.0,0.0,0.39,0.61,0.0,0.0,0.0,839.67,1313.33,C,4.61,Big,-0.46,0.99,0.53,4.96
couside01,2017-2018,4.27333333333333,2.86666666666667,,,,,18063850.0,0.182291887418889,27,8,NOP,C,48,1737,1.2,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1737.0,C,5.0,Big,2.06,1.6,3.66,7.5
davised01,2017-2018,0.686666666666667,1.98666666666667,,,,,6352531.0,0.0641067582977607,28,8,POR,C,78,1471,4.4,2.2,0.0,0.0,0.0,0.57,0.43,0.0,0.0,0.0,838.47,632.53,PF,4.43,Big,-1.39,2.42,1.03,3.79
monrogr01,2017-2018,-0.3733333333333329,-3.00666666666667,,,,,21384175.0,0.21579904735955105,27,8,TOT,C,51,1040,-11.0,-9.8,0.0,0.0,0.0,0.02,0.98,0.0,0.0,0.0,20.8,1019.2,C,4.98,Big,-1.13,-0.63,-1.76,0.91
udohek01,2017-2018,3.44,2.07333333333333,,,,,3200000.0,0.0322928965719072,30,6,UTA,C,63,810,4.1,-0.8,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,81.0,729.0,C,4.9,Big,-1.35,3.66,2.31,2.78
whiteha01,2017-2018,0.3933333333333329,1.33333333333333,,,,,23775506.0,0.23993123631336202,28,6,MIA,C,54,1364,-2.4,-5.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1364.0,C,5.0,Big,-3.04,3.53,0.49,3.18
pattepa01,2017-2018,-0.74,-4.06,,,,,5192000.0,0.0523952246879194,28,8,OKC,PF,82,1270,-3.3,-9.6,0.0,0.0,0.0,0.22,0.78,0.0,0.0,0.0,279.4,990.6,C,4.78,Wing,-0.9,0.44,-0.46,2.05
aldrico01,2017-2018,-2.94,,,,,,7300000.0,0.0736681703046633,29,8,MIN,C,21,49,-2.0,-4.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,49.0,C,5.0,Big,-2.03,1.12,-0.91,0.07
bjeline01,2017-2018,0.806666666666667,1.8666666666666698,,,,,3949999.0,0.0398615341144178,29,3,MIN,PF,67,1371,0.6,-2.9,0.0,0.0,0.11,0.87,0.03,0.0,0.0,150.81,1192.77,41.13,PF,3.96,Wing,-0.36,1.32,0.96,3.61
booketr01,2017-2018,-1.11333333333333,,,,,,9057516.0,0.0914041960582483,30,8,TOT,PF,68,1158,-0.4,-1.3,0.0,0.0,0.02,0.73,0.25,0.0,0.0,23.16,845.34,289.5,PF,4.23,Big,-1.15,-0.27,-1.42,0.98
evansje01,2017-2018,-3.9,,,,,,133129.0,0.00134347532116295,30,7,ATL,SF,1,5,-45.5,-39.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,SF,3.0,Wing,-1.73,0.03,-1.7,0.01
mozgoti01,2017-2018,-2.14666666666667,,,,,,15280000.0,0.154198581130857,31,8,BRK,C,31,359,-12.4,-9.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,359.0,C,5.0,Big,-3.03,1.86,-1.17,0.46
linje01,2017-2018,-5.63333333333333,-2.89333333333333,,,,,12000000.0,0.12109836214465199,29,8,BRK,PG,1,25,-11.9,-8.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,PG,1.0,Guard,-1.54,-0.16,-1.7,0.03
smithis01,2017-2018,-0.613333333333333,-1.9,,,,,6000000.0,0.06054918107232599,29,8,DET,PG,82,2043,0.8,2.1,1.0,0.0,0.0,0.0,0.0,2043.0,0.0,0.0,0.0,0.0,PG,1.0,Guard,0.18,-0.5,-0.32,3.64
marjabo01,2017-2018,0.4533333333333329,1.27333333333333,,,,,7000000.0,0.070640711251047,29,3,TOT,C,39,337,6.2,6.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,337.0,C,5.0,Big,-0.47,1.45,0.98,0.91
teletmi01,2017-2018,-1.16,,,,,,10500000.0,0.10596106687657,32,6,MIL,PF,10,159,-9.8,-10.2,0.0,0.0,0.42,0.54,0.05,0.0,0.0,66.78,85.86,7.95,PF,3.67,Wing,-1.35,0.41,-0.94,0.22
nowitdi01,2017-2018,1.36,-3.7,,,,,5000000.0,0.05045765089360501,39,18,DAL,C,77,1900,-3.6,-0.2,0.0,0.0,0.0,0.03,0.97,0.0,0.0,0.0,57.0,1843.0,C,4.97,Big,1.4,0.49,1.89,6.06
bertada01,2017-2018,1.4333333333333302,2.3333333333333304,,,,,1312611.0,0.0132462535194211,25,2,SAS,PF,77,1086,3.7,1.0,0.0,0.0,0.0,0.92,0.07,0.0,0.0,0.0,999.12,76.02,PF,4.03,Wing,0.64,1.01,1.65,3.28
biyombi01,2017-2018,-3.9,-2.2333333333333303,,,,,17000000.0,0.171556013038257,25,7,ORL,C,82,1495,-12.8,-12.3,0.0,0.0,0.0,0.15,0.86,0.0,0.0,0.0,224.25,1285.7,C,4.9,Big,-4.37,-0.68,-5.05,-1.83
brookma01,2017-2018,0.926666666666667,-3.7866666666666697,,,,,332477.0,0.00335520167923062,29,4,MEM,SG,7,193,-0.7,6.2,0.03,0.57,0.38,0.02,0.0,5.79,110.01,73.34,3.86,0.0,SG,2.39,Wing,0.4,-1.06,-0.66,0.3
burksal01,2017-2018,-2.48666666666667,-3.03333333333333,,,,,10845506.0,0.1094477511025,26,7,UTA,SG,64,1059,-0.1,-6.5,0.05,0.87,0.08,0.0,0.0,52.95,921.33,84.72,0.0,0.0,SG,2.03,Wing,-0.69,-1.64,-2.33,0.53
