BBREF_ID,SEASON,BLEND,SEASON_PLUS_1,SEASON_PLUS_2,SEASON_PLUS_3,SEASON_PLUS_4,SEASON_PLUS_5,HEIGHT_PERCENTILE_ALL,WEIGHT_PERCENTILE_ALL,AGE_PERCENTILE_ALL,GAMES_PLAYER_PERCENTILE_ALL,GAMES_STARTED_PERCENTILE_ALL,MINUTES_PERCENTILE_ALL,FG_PERCENTILE_ALL,FGA_PERCENTILE_ALL,FG_PERCENT_PERCENTILE_ALL,THREE_POINT_MADE_PERCENTILE_ALL,THREE_POINT_ATTEMPT_PERCENTILE_ALL,THREE_POINT_PERCENT_PERCENTILE_ALL,TWO_POINT_MADE_PERCENTILE_ALL,TWO_POINT_ATTEMPT_PERCENTILE_ALL,TWO_POINT_PERCENT_PERCENTILE_ALL,EFG_PERCENT_PERCENTILE_ALL,TRUE_SHOOTING_PERCENT_PERCENTILE_ALL,FREE_THROW_MADE_PERCENTILE_ALL,FREE_THROW_ATTEMPT_PERCENTILE_ALL,FREE_THROW_PERCENT_PERCENTILE_ALL,OREB_PERCENTILE_ALL,DRB_PERCENTILE_ALL,TOTAL_PERCENTILE_ALL,AST_PERCENTILE_ALL,STL_PERCENTILE_ALL,BLK_PERCENTILE_ALL,TURNOVER_PERCENTILE_ALL,FOUL_PERCENTILE_ALL,POINTS_PERCENTILE_ALL,FG_MADE_PER100_PERCENTILE_ALL,FG_ATTEMPTED_PER100_PERCENTILE_ALL,THREE_POINT_MADE_PER100_PERCENTILE_ALL,THREE_POINT_ATTEMPT_PER100_PERCENTILE_ALL,TWO_POINT_MADE_PER100_PERCENTILE_ALL,TWO_POINT_ATTEMPT_PER100_PERCENTILE_ALL,FREE_THROW_MADE_PER100_PERCENTILE_ALL,FREE_THROW_ATTEMPT_PER100_PERCENTILE_ALL,THREE_POINT_ATTEMPT_RATE_PERCENTILE_ALL,FREE_THROW_RATE_PERCENTILE_ALL,ORB_PERCENT_PERCENTILE_ALL,DRB_PERCENT_PERCENTILE_ALL,TRB_PERCENT_PERCENTILE_ALL,AST_PERCENT_PERCENTILE_ALL,STL_PERCENT_PERCENTILE_ALL,BLK_PERCENT_PERCENTILE_ALL,TOV_PERCENT_PERCENTILE_ALL,USG_PERCENT_PERCENTILE_ALL,OFF_WIN_SHARES_PERCENTILE_ALL,DEF_WIN_SHARES_PERCENTILE_ALL,WIN_SHARES_PERCENTILE_ALL,WIN_SHARRES_PER_48_PERCENTILE_ALL,OFF_BPM_PERCENTILE_ALL,DEF_BPM_PERCENTILE_ALL,BPM_PERCENTILE_ALL,VORP_PERCENTILE_ALL,ADVANCED_POSITION_CLUSTER
jefferi01,2013-2014,-2.51333333333333,-0.64,-1.8133333333333301,-1.8933333333333302,-3.45333333333333,,0.39916839916839897,0.636174636174636,0.88981288981289,0.941787941787942,0.914760914760915,0.8128898128898071,0.727650727650726,0.735966735966732,0.572025052192067,0.912681912681912,0.8981288981288961,0.900966183574881,0.6320166320166322,0.636174636174635,0.560669456066946,0.841336116910229,0.8079331941544878,0.731808731808732,0.727650727650727,0.45217391304347704,0.307692307692308,0.6777546777546769,0.6008316008316,0.704781704781705,0.715176715176715,0.501039501039501,0.6819126819126821,0.783783783783783,0.7567567567567529,0.507276507276507,0.459459459459459,0.823284823284823,0.74012474012474,0.30977130977130996,0.237006237006237,0.490644490644491,0.492723492723493,0.7995824634655501,0.511482254697286,0.0623700623700624,0.34095634095634103,0.20790020790020802,0.509355509355509,0.35550935550935603,0.272349272349272,0.341666666666667,0.41372141372141397,0.7442827442827441,0.274428274428274,0.619542619542619,0.365904365904366,0.727650727650728,0.241164241164241,0.49688149688149696,0.5696465696465699,Wing
johnsjo02,2013-2014,1.76666666666667,0.6466666666666671,-0.06,-0.613333333333333,-3.96666666666667,,0.39916839916839897,0.7006237006237,0.860706860706861,0.8191268191268191,0.9293139293139291,0.9168399168399091,0.92307692307692,0.9230769230769169,0.5949895615866391,0.964656964656964,0.958419958419955,0.879227053140098,0.82120582120582,0.827442827442824,0.585774058577406,0.7828810020876821,0.7578288100208759,0.8045738045738041,0.777546777546777,0.7304347826086941,0.6008316008316011,0.727650727650727,0.690228690228689,0.827442827442827,0.644490644490645,0.41372141372141397,0.7858627858627859,0.598752598752599,0.9106029106029041,0.804573804573805,0.808731808731809,0.8794178794178801,0.8316008316008321,0.615384615384615,0.6008316008316011,0.5904365904365899,0.5343035343035341,0.6847599164926911,0.33820459290187893,0.278586278586279,0.307692307692308,0.282744282744283,0.7027027027027031,0.195426195426195,0.162162162162162,0.17291666666666697,0.735966735966735,0.9064449064449058,0.5135135135135139,0.8045738045738041,0.5758835758835761,0.898128898128898,0.14968814968815,0.62993762993763,0.775467775467775,Wing
parketo01,2013-2014,1.64,-2.7666666666666697,-0.23333333333333303,-2.10666666666667,-3.8,-3.2933333333333303,0.0706860706860707,0.0582120582120582,0.8170478170478169,0.5862785862785861,0.8253638253638249,0.7442827442827401,0.9126819126819101,0.8856548856548799,0.8058455114822539,0.561330561330561,0.5530145530145529,0.73913043478261,0.9438669438669409,0.9397089397089341,0.7280334728033471,0.67223382045929,0.713987473903966,0.8544698544698539,0.835758835758834,0.7130434782608679,0.299376299376299,0.509355509355509,0.459459459459459,0.945945945945943,0.538461538461539,0.38669438669438705,0.8918918918918911,0.42411642411642403,0.893970893970887,0.962577962577962,0.9209979209979209,0.37006237006237,0.33056133056133097,0.96049896049896,0.962577962577962,0.8336798336798341,0.762993762993763,0.304801670146138,0.540709812108559,0.0748440748440748,0.07900207900207902,0.0498960498960499,0.9480249480249471,0.16008316008316,0.162162162162162,0.475,0.925155925155925,0.9064449064449058,0.7359667359667359,0.866943866943867,0.8461538461538459,0.841995841995842,0.22037422037422003,0.598752598752599,0.6923076923076921,Guard
randoza01,2013-2014,1.52666666666667,3.53333333333333,-0.926666666666667,-1.6466666666666698,-2.44666666666667,,0.6008316008316011,0.814968814968815,0.860706860706861,0.8191268191268191,0.9293139293139291,0.9459459459459371,0.9688149688149651,0.960498960498953,0.6826722338204589,0.318087318087318,0.40332640332640296,0.16908212560386499,0.9854469854469821,0.9854469854469781,0.49163179916318,0.33820459290187893,0.396659707724426,0.9168399168399151,0.92307692307692,0.45434782608695595,0.989604989604988,0.9750519750519719,0.9875259875259829,0.802494802494802,0.6985446985446989,0.646569646569647,0.9313929313929309,0.923076923076922,0.9480249480249399,0.9459459459459459,0.9355509355509358,0.0,0.272349272349272,0.964656964656964,0.985446985446985,0.8253638253638249,0.823284823284823,0.26513569937369497,0.572025052192066,0.908523908523909,0.893970893970894,0.9209979209979209,0.634095634095634,0.249480249480249,0.365904365904366,0.3854166666666671,0.9168399168399171,0.8212058212058209,0.933471933471933,0.896049896049896,0.7027027027027031,0.6985446985446989,0.634095634095634,0.727650727650728,0.841995841995842,Big
wallage01,2013-2014,0.146666666666667,-2.08,,,,,0.39916839916839897,0.401247401247401,0.8170478170478169,0.46361746361746403,0.5696465696465699,0.577962577962577,0.43451143451143504,0.40332640332640296,0.837160751565761,0.51975051975052,0.5467775467775471,0.38164251207729494,0.4677754677754679,0.41787941787941796,0.943514644351464,0.8455114822546971,0.6367432150313149,0.45530145530145505,0.582120582120582,0.0478260869565217,0.503118503118503,0.625779625779626,0.5904365904365899,0.729729729729729,0.8399168399168399,0.501039501039501,0.704781704781705,0.401247401247401,0.42411642411642403,0.118503118503119,0.051975051975052006,0.39501039501039503,0.357588357588358,0.19750519750519802,0.0873180873180873,0.234927234927235,0.47193347193347207,0.51983298538622,0.872651356993735,0.390852390852391,0.5467775467775471,0.474012474012474,0.698544698544698,0.9106029106029108,0.41372141372141397,0.9708333333333321,0.0831600831600832,0.0831600831600832,0.6819126819126821,0.42203742203742206,0.278586278586279,0.324324324324324,0.9126819126819129,0.6174636174636171,0.652806652806653,Wing
watsoea01,2013-2014,-3.36666666666667,,,,,,0.0374220374220374,0.162162162162162,0.9313929313929309,0.18711018711018695,0.0,0.135135135135135,0.0436590436590437,0.0602910602910603,0.0375782881002088,0.318087318087318,0.305613305613306,0.3502415458937199,0.0249480249480249,0.0395010395010395,0.0292887029288703,0.0584551148225469,0.18580375782880998,0.108108108108108,0.0810810810810811,0.9739130434782579,0.141372141372141,0.0914760914760915,0.0914760914760915,0.305613305613306,0.147609147609148,0.0977130977130977,0.22037422037422003,0.22453222453222502,0.0665280665280665,0.0207900207900208,0.00623700623700624,0.37006237006237,0.35343035343035295,0.0249480249480249,0.0103950103950104,0.153846153846154,0.0810810810810811,0.9624217118997871,0.784968684759915,0.46361746361746403,0.0395010395010395,0.10187110187110199,0.833679833679833,0.550935550935551,0.218295218295218,0.9979166666666651,0.0187110187110187,0.11018711018711001,0.0873180873180873,0.0478170478170478,0.10187110187110199,0.11642411642411599,0.474012474012474,0.137214137214137,0.237006237006237,Guard
bryanko01,2013-2014,-0.4866666666666671,-1.33333333333333,-2.55333333333333,,,,0.32224532224532204,0.38045738045738003,0.948024948024948,0.0582120582120582,0.42827442827442797,0.14553014553014598,0.195426195426195,0.195426195426195,0.390396659707724,0.343035343035343,0.378378378378378,0.20531400966183602,0.23284823284823297,0.20997920997920996,0.589958158995816,0.20459290187891396,0.35281837160751595,0.26403326403326394,0.239085239085239,0.8652173913043449,0.0810810810810811,0.172557172557173,0.14968814968815,0.3742203742203739,0.18711018711018695,0.0977130977130977,0.34511434511434497,0.0873180873180873,0.201663201663202,0.704781704781705,0.762993762993763,0.40748440748440795,0.492723492723493,0.794178794178794,0.787941787941788,0.8253638253638249,0.727650727650728,0.42588726513569897,0.6012526096033399,0.10187110187110199,0.5467775467775471,0.432432432432432,0.9667359667359651,0.683991683991684,0.218295218295218,0.9791666666666659,0.97089397089397,0.0415800415800416,0.0873180873180873,0.0124740124740125,0.0311850311850312,0.133056133056133,0.313929313929314,0.118503118503119,0.17047817047817004,Guard
anderch01,2013-2014,3.2,0.24,-0.4533333333333329,-0.553333333333333,,,0.7234927234927242,0.762993762993763,0.948024948024948,0.656964656964657,0.0,0.565488565488564,0.5467775467775471,0.444906444906445,0.987473903966595,0.343035343035343,0.349272349272349,0.265700483091788,0.6424116424116421,0.538461538461538,0.9748953974895391,0.981210855949894,0.991649269311063,0.731808731808732,0.7338877338877329,0.352173913043478,0.885654885654885,0.7796257796257791,0.8399168399168371,0.241164241164241,0.501039501039501,0.9646569646569649,0.46985446985447,0.762993762993763,0.553014553014552,0.45114345114345095,0.12058212058212099,0.30145530145530103,0.282744282744283,0.667359667359667,0.37006237006237,0.77962577962578,0.7900207900207901,0.29227557411273497,0.947807933194152,0.9293139293139291,0.8648648648648649,0.912681912681912,0.051975051975052006,0.297297297297297,0.981288981288981,0.5,0.182952182952183,0.8877338877338878,0.810810810810811,0.881496881496881,0.972972972972973,0.6985446985446989,0.8295218295218291,0.8544698544698539,0.7920997920997921,Big
cartevi01,2013-2014,3.35333333333333,-1.33333333333333,-1.06,1.2,-0.506666666666667,-1.28666666666667,0.32224532224532204,0.457380457380457,0.981288981288981,0.896049896049896,0.0,0.735966735966731,0.7713097713097701,0.8336798336798291,0.271398747390397,0.952182952182952,0.945945945945943,0.845410628019325,0.675675675675675,0.73180873180873,0.18410041841004202,0.542797494780793,0.5991649269311059,0.812889812889813,0.783783783783783,0.7499999999999979,0.721413721413721,0.719334719334718,0.7047817047817031,0.82120582120582,0.760914760914761,0.762993762993763,0.7442827442827441,0.918918918918918,0.817047817047812,0.715176715176715,0.8274428274428279,0.937629937629938,0.925155925155925,0.43451143451143504,0.507276507276507,0.733887733887734,0.6548856548856551,0.7933194154488491,0.49686847599164896,0.509355509355509,0.444906444906445,0.46361746361746403,0.74012474012474,0.550935550935551,0.634095634095634,0.25625,0.783783783783783,0.8336798336798341,0.604989604989605,0.762993762993763,0.659043659043659,0.9106029106029108,0.363825363825364,0.8170478170478169,0.823284823284823,Wing
crawfja01,2013-2014,-0.3533333333333329,-1.8533333333333302,-2.40666666666667,-3.16,-4.92,-5.77333333333333,0.253638253638254,0.0582120582120582,0.88981288981289,0.604989604989605,0.6237006237006241,0.7754677754677699,0.877338877338875,0.91683991683991,0.325678496868476,0.96049896049896,0.97297297297297,0.6690821256038659,0.7879417879417869,0.806652806652804,0.40585774058577395,0.5365344467640921,0.726513569937369,0.9334719334719309,0.9085239085239059,0.893478260869563,0.48024948024948,0.478170478170478,0.46985446985447,0.841995841995841,0.7359667359667359,0.457380457380457,0.8461538461538459,0.544698544698545,0.9272349272349201,0.893970893970894,0.9459459459459459,0.937629937629938,0.9646569646569649,0.634095634095634,0.661122661122661,0.952182952182952,0.9189189189189191,0.7703549060542769,0.676409185803757,0.22037422037422003,0.0332640332640333,0.0353430353430353,0.7546777546777549,0.43866943866943897,0.218295218295218,0.239583333333333,0.9417879417879409,0.8877338877338878,0.6548856548856551,0.8357588357588349,0.758835758835759,0.933471933471934,0.108108108108108,0.6902286902286899,0.775467775467775,Wing
