SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER40_FG,PER40_FGA,PER40_FG%,PER40_2P,PER40_2PA,PER40_2P%,PER40_3P,PER40_3PA,PER40_3P%,PER40_FT,PER40_FTA,PER40_FT%,PER40_TRB,PER40_AST,PER40_STL,PER40_BLK,PER40_TOV,PER40_PF,PER40_PTS,PLAYER,SPORTS_REF_ID
Career,Villanova,,85,12,2163,5.6,11.9,0.469,3.2,5.6,0.573,2.4,6.4,0.378,2.5,3.5,0.705,6.3,3.8,1.5,0.3,2.5,2.8,16.1,Donte DiVincenzo,donte-divincenzo-1
2014-15,Clemson,ACC,31,31,918,4.4,11.9,0.372,2.7,5.5,0.48,1.8,6.4,0.279,1.3,2.3,0.547,6.2,2.3,1.2,1.4,2.3,2,11.9,Donte Grantham,donte-grantham-1
2015-16,Clemson,ACC,31,31,1010,4.3,11.1,0.384,2.1,4.9,0.423,2.2,6.3,0.354,1.7,2.1,0.846,5,2.9,1.2,0.6,1.7,2.4,12.5,Donte Grantham,donte-grantham-1
2016-17,Clemson,ACC,33,32,915,3.9,10.3,0.383,2.3,5.2,0.441,1.7,5.1,0.325,1,1.4,0.742,6.3,2.2,1.1,0.9,1.7,1.9,10.5,Donte Grantham,donte-grantham-1
2017-18,Clemson,ACC,19,19,605,6.7,12,0.56,5,7.9,0.633,1.7,4.1,0.419,2.6,3.3,0.78,8.7,3,1,1.1,2.1,2.5,17.8,Donte Grantham,donte-grantham-1
Career,Clemson,,114,113,3448,4.7,11.3,0.414,2.8,5.7,0.494,1.9,5.6,0.333,1.6,2.2,0.726,6.3,2.6,1.1,1,2,2.2,12.8,Donte Grantham,donte-grantham-1
2007-08,Syracuse,Big East,35,35,1253,7,16.6,0.418,4.1,8.3,0.492,2.9,8.3,0.345,3,4.2,0.707,8,2.3,1.4,1.8,2.9,3.2,19.8,Donte Greene,donte-greene-1
Career,Syracuse,,35,35,1253,7,16.6,0.418,4.1,8.3,0.492,2.9,8.3,0.345,3,4.2,0.707,8,2.3,1.4,1.8,2.9,3.2,19.8,Donte Greene,donte-greene-1
2004-05,Arkansas,SEC,30,4,495,3,8.1,0.37,2,4.9,0.41,1,3.2,0.308,2.9,4.4,0.667,4.9,5.1,1.8,0.2,4.4,4.7,9.9,Dontell Jefferson,dontell-jefferson-1
2005-06,Arkansas,SEC,32,24,730,1.9,4.7,0.412,1.6,3.2,0.492,0.3,1.4,0.231,1.5,2.2,0.675,5.4,7.8,2.5,0.8,3.9,3.7,5.6,Dontell Jefferson,dontell-jefferson-1
Career,Arkansas,,62,28,1225,2.4,6,0.389,1.8,3.9,0.45,0.6,2.1,0.277,2.1,3.1,0.67,5.2,6.7,2.2,0.6,4.1,4.1,7.3,Dontell Jefferson,dontell-jefferson-1
1991-92,UConn,Big East,30,28,806,6.2,14.6,0.424,5.5,11.6,0.472,0.7,3.1,0.242,3.4,4.6,0.742,9.1,2.2,1.5,3.9,4.2,4.6,16.6,Donyell Marshall,donyell-marshall-1
1992-93,UConn,Big East,27,,854,7.8,15.6,0.5,6.8,13,0.525,0.9,2.5,0.37,5,6,0.829,9.8,1.4,1.8,2.6,2.8,2.9,21.5,Donyell Marshall,donyell-marshall-1
1993-94,UConn,Big East,34,34,1157,10.6,20.7,0.512,9.2,16.2,0.568,1.4,4.6,0.311,6.9,9.2,0.752,10.4,1.9,1.5,3.8,3.4,2.4,29.6,Donyell Marshall,donyell-marshall-1
Career,UConn,,91,62,2817,8.5,17.4,0.487,7.4,13.9,0.533,1.1,3.5,0.306,5.3,6.9,0.77,9.9,1.9,1.6,3.5,3.4,3.2,23.4,Donyell Marshall,donyell-marshall-1
2011-12,Virginia Tech,ACC,33,30,957,2.9,8.7,0.332,1.8,5.7,0.314,1.1,3,0.366,1.9,3.2,0.584,9.7,2.6,1,1,2.4,3.7,8.7,Dorian Finney-Smith,dorian-finney-smith-1
2013-14,Florida,SEC,37,2,950,4.4,11.9,0.371,2.8,6.4,0.437,1.6,5.6,0.295,3.1,4.8,0.643,10.4,3.2,0.7,0.7,2.6,3.4,13.6,Dorian Finney-Smith,dorian-finney-smith-1
2014-15,Florida,SEC,28,23,782,7,14.8,0.472,4.5,9,0.503,2.5,5.9,0.426,2.3,3.8,0.587,8.9,2.3,1.6,1.2,2.8,3.8,18.8,Dorian Finney-Smith,dorian-finney-smith-1
2015-16,Florida,SEC,36,36,1145,5.9,13.5,0.437,3.4,6.8,0.505,2.5,6.7,0.368,4.2,5.8,0.733,10.5,2.6,1.2,1,2.4,2.7,18.5,Dorian Finney-Smith,dorian-finney-smith-1
Career,Overall,,134,91,3834,5,12.2,0.411,3.1,6.9,0.449,1.9,5.3,0.362,3,4.5,0.657,9.9,2.7,1.1,1,2.5,3.3,14.9,Dorian Finney-Smith,dorian-finney-smith-1
2010-11,Kentucky,SEC,38,14,1078,6,12,0.497,3.5,6.8,0.505,2.5,5.2,0.486,2.9,3.7,0.79,2.8,2.3,0.8,0.2,1.9,3.2,17.4,Doron Lamb,doron-lamb-1
2011-12,Kentucky,SEC,40,35,1249,5.6,11.8,0.474,3.2,6.6,0.481,2.4,5.2,0.466,3.9,4.8,0.826,3.5,1.9,0.6,0.1,1.4,2.3,17.6,Doron Lamb,doron-lamb-1
Career,Kentucky,,78,49,2327,5.8,11.9,0.485,3.3,6.7,0.492,2.5,5.2,0.475,3.5,4.3,0.811,3.1,2.1,0.7,0.1,1.6,2.7,17.5,Doron Lamb,doron-lamb-1
2010-11,Creighton,MVC,39,39,1133,7.8,14.8,0.525,6.1,10.7,0.571,1.7,4.1,0.405,3.3,4.4,0.746,9.9,1.6,0.4,0.1,3.1,2.9,20.5,Doug McDermott,doug-mcdermott-1
2011-12,Creighton,MVC,35,35,1117,11,18.3,0.601,9.1,14.3,0.633,1.9,4,0.486,4.8,6,0.796,10.3,1.3,0.3,0.1,2.8,2.2,28.7,Doug McDermott,doug-mcdermott-1
2012-13,Creighton,MVC,36,36,1138,10,18.2,0.548,7.3,12.7,0.573,2.7,5.5,0.49,6.6,7.6,0.875,9.7,2,0.3,0.1,3.3,2,29.3,Doug McDermott,doug-mcdermott-1
2013-14,Creighton,Big East,35,35,1181,11.2,21.2,0.526,7.9,14,0.567,3.3,7.2,0.449,6,7,0.864,8.3,1.9,0.3,0.2,2.1,2.3,31.6,Doug McDermott,doug-mcdermott-1
Career,Creighton,,145,145,4569,10,18.2,0.55,7.6,12.9,0.587,2.4,5.2,0.458,5.2,6.3,0.831,9.5,1.7,0.3,0.1,2.8,2.3,27.6,Doug McDermott,doug-mcdermott-1
2008-09,Michigan State,Big Ten,37,0,422,4.3,7.7,0.556,4.3,7.6,0.563,0,0.1,0,3,4.9,0.615,11.6,2.9,2,0.9,2.3,6.3,11.6,Draymond Green,draymond-green-1
2009-10,Michigan State,Big Ten,37,3,945,5.9,11.2,0.525,5.8,10.5,0.55,0.1,0.7,0.125,3.6,5.4,0.672,12.1,4.7,1.9,1.4,2.6,4.7,15.5,Draymond Green,draymond-green-1
2010-11,Michigan State,Big Ten,34,27,1023,5.7,13.5,0.426,4.3,9.5,0.451,1.4,3.9,0.366,3.8,5.6,0.683,11.5,5.5,2.3,1.5,3.1,4.5,16.7,Draymond Green,draymond-green-1
2011-12,Michigan State,Big Ten,37,36,1229,6.9,15.4,0.449,5.2,11,0.473,1.7,4.4,0.388,4.1,5.6,0.723,12.8,4.6,1.8,1.1,3.6,3.4,19.6,Draymond Green,draymond-green-1
Career,Michigan State,,145,66,3619,6,12.9,0.467,5,10.1,0.496,1,2.8,0.361,3.8,5.5,0.687,12.1,4.7,2,1.3,3.1,4.4,16.8,Draymond Green,draymond-green-1
2015-16,Oregon State,Pac-12,32,30,685,5.9,10.2,0.58,5.9,10.2,0.58,0,0,,2.3,3.7,0.635,8.5,0.8,0.8,2.3,2.5,5.3,14.1,Drew Eubanks,drew-eubanks-1
2016-17,Oregon State,Pac-12,32,32,1027,7.1,12.1,0.587,7.1,12.1,0.587,0,0,,3.9,5.4,0.712,10.4,1.5,0.8,2.7,3.7,3.6,18,Drew Eubanks,drew-eubanks-1
2017-18,Oregon State,Pac-12,32,32,1003,6.5,10.5,0.624,6.5,10.5,0.624,0,0,,3.7,5.3,0.701,8.7,1.4,0.6,2.2,2.2,3.5,16.8,Drew Eubanks,drew-eubanks-1
Career,Oregon State,,96,94,2715,6.6,11,0.598,6.6,11,0.598,0,0,,3.4,5,0.693,9.3,1.3,0.7,2.4,2.9,4,16.6,Drew Eubanks,drew-eubanks-1
1999-00,Kansas,Big 12,33,8,686,8.3,18.5,0.451,8,17.6,0.458,0.3,0.9,0.313,3.5,5.3,0.659,14.5,2.1,1.4,1.5,4.1,4.3,20.5,Drew Gooden,drew-gooden-1
2000-01,Kansas,Big 12,28,20,761,8.7,16.9,0.516,8.5,16.4,0.519,0.2,0.5,0.4,5.5,8.5,0.648,12.3,2.5,0.8,1.5,3.8,4,23.2,Drew Gooden,drew-gooden-1
2001-02,Kansas,Big 12,37,36,1119,10.2,20.2,0.504,9.8,18.9,0.519,0.4,1.3,0.278,5.5,7.3,0.755,15.1,2.6,2.3,1.9,3.9,3.3,26.2,Drew Gooden,drew-gooden-1
Career,Kansas,,98,64,2566,9.3,18.8,0.493,9,17.8,0.503,0.3,1,0.306,5,7.1,0.698,14.1,2.4,1.6,1.7,3.9,3.8,23.8,Drew Gooden,drew-gooden-1
2008-09,UCLA,Pac-10,34,0,369,5.6,10,0.565,5.6,10,0.565,0,0,,2,3.9,0.5,12.6,0.8,2,1.6,2.6,6.1,13.2,Drew Gordon,drew-gordon-1
2009-10,UCLA,Pac-10,6,6,147,7.9,13.9,0.569,7.9,13.3,0.592,0,0.5,0,2.4,3.8,0.643,8.7,1.4,0.8,3.3,1.6,5.7,18.2,Drew Gordon,drew-gordon-1
2010-11,New Mexico,MWC,26,19,729,7.6,14.4,0.527,7.6,14.4,0.527,0,0,,3.3,4.9,0.678,15,0.9,0.8,1.9,3.3,4.7,18.5,Drew Gordon,drew-gordon-1
2011-12,New Mexico,MWC,35,34,1078,7,12.9,0.542,6.9,12.8,0.539,0.1,0.1,1,3.8,5.1,0.752,14.4,1.6,1.4,1.3,3,2.9,17.8,Drew Gordon,drew-gordon-1
Career,Overall,,101,59,2323,7,12.9,0.541,7,12.9,0.541,0,0.1,0.5,3.3,4.8,0.69,13.9,1.2,1.3,1.7,3,4.1,17.3,Drew Gordon,drew-gordon-1
2010-11,Wisconsin,Big Ten,8,0,15,2.7,10.7,0.25,2.7,10.7,0.25,0,0,,0,0,,13.3,0,0,0,0,2.7,5.3,Duje Dukan,duje-dukan-1
2011-12,Wisconsin,Big Ten,13,0,41,3.9,6.8,0.571,3.9,4.9,0.8,0,2,0,1,3.9,0.25,6.8,2,2.9,0,2.9,2,8.8,Duje Dukan,duje-dukan-1
2013-14,Wisconsin,Big Ten,38,0,309,5.3,10.6,0.5,3.4,5.3,0.634,1.9,5.3,0.366,1.3,1.8,0.714,7.4,1.4,0.4,0.1,1,4.1,13.9,Duje Dukan,duje-dukan-1
2014-15,Wisconsin,Big Ten,38,0,605,4,10.2,0.387,2,4.2,0.484,1.9,6,0.319,2,3,0.674,6.5,1.6,0.5,0.2,1.7,3.2,11.9,Duje Dukan,duje-dukan-1
Career,Wisconsin,,97,0,970,4.4,10.2,0.427,2.6,4.7,0.544,1.8,5.5,0.328,1.7,2.6,0.656,6.9,1.5,0.6,0.2,1.5,3.4,12.3,Duje Dukan,duje-dukan-1
2015-16,Michigan,Big Ten,36,27,1040,5.2,11.3,0.457,1.5,3.2,0.476,3.7,8.1,0.45,1.5,1.7,0.886,4.8,2.5,0.9,0.3,1.4,3.1,15.5,Duncan Robinson,duncan-robinson-1
2016-17,Michigan,Big Ten,38,3,764,5.3,11.3,0.47,1.9,3.4,0.578,3.4,7.9,0.424,1.3,1.7,0.781,3.5,1.7,0.8,0.5,1,3.7,15.2,Duncan Robinson,duncan-robinson-1
2017-18,Michigan,Big Ten,41,19,1059,4.6,10.5,0.44,1.7,2.8,0.595,2.9,7.7,0.384,2.2,2.4,0.891,3.8,1.7,1,0.6,0.9,3.7,14.3,Duncan Robinson,duncan-robinson-1
Career,Michigan,,115,49,2863,5,11,0.455,1.7,3.1,0.545,3.3,7.9,0.419,1.7,2,0.864,4.1,2,0.9,0.5,1.1,3.5,15,Duncan Robinson,duncan-robinson-1
2012-13,Texas Tech,Big 12,31,17,694,4.1,10.5,0.393,1.5,3.5,0.433,2.7,7.1,0.374,1.4,1.8,0.806,2,0.6,1,0.1,1.7,3.2,12.4,Dusty Hannahs,dusty-hannahs-1
2013-14,Texas Tech,Big 12,32,10,706,4.1,10.9,0.378,1.8,4.6,0.39,2.3,6.3,0.369,3.4,3.7,0.923,2.5,2.3,0.8,0.1,1.5,3,14,Dusty Hannahs,dusty-hannahs-1
2015-16,Arkansas,SEC,32,20,866,8,17.6,0.458,4.3,8.9,0.482,3.7,8.6,0.433,4.6,5.3,0.87,3.6,1.3,0.9,0,1.9,3.1,24.4,Dusty Hannahs,dusty-hannahs-1
2016-17,Arkansas,SEC,36,23,890,7.6,17.2,0.439,4.2,8.6,0.49,3.3,8.6,0.387,4.9,5.3,0.908,2.8,1.9,0.7,0.2,2.7,2.8,23.3,Dusty Hannahs,dusty-hannahs-1
Career,Overall,,131,70,3156,6.2,14.4,0.428,3.1,6.7,0.465,3.1,7.8,0.395,3.7,4.2,0.888,2.8,1.6,0.8,0.1,2,3,19.1,Dusty Hannahs,dusty-hannahs-1
2015-16,Florida State,ACC,34,32,979,8,18,0.447,6.7,13.4,0.505,1.3,4.7,0.281,4.5,6.3,0.714,8,2,1.3,0,3,3,21.9,Dwayne Bacon,dwayne-bacon-1
2016-17,Florida State,ACC,35,35,1008,8.8,19.4,0.452,6.5,12.6,0.516,2.3,6.8,0.333,4.1,5.5,0.754,5.8,2.4,1.4,0.2,2.8,2.2,23.9,Dwayne Bacon,dwayne-bacon-1
Career,Florida State,,69,67,1987,8.4,18.7,0.449,6.6,13,0.51,1.8,5.7,0.312,4.3,5.9,0.733,6.9,2.2,1.4,0.1,2.9,2.6,22.9,Dwayne Bacon,dwayne-bacon-1
2002-03,St. Joseph's,A-10,30,1,631,3.2,6,0.526,3.2,6,0.526,0,0,,1.6,4.7,0.351,12,0.5,0.7,3.8,1.8,4.4,8,Dwayne Jones,dwayne-jones-1
2003-04,St. Joseph's,A-10,32,32,868,3.6,6.7,0.545,3.6,6.7,0.545,0,0,,2.2,4.8,0.452,10.3,1.3,0.8,2.9,1.7,4.3,9.4,Dwayne Jones,dwayne-jones-1
2004-05,St. Joseph's,A-10,36,36,1254,3.7,7.2,0.507,3.7,7.2,0.507,0,0,,4.2,7.9,0.536,13.3,1,0.4,3.5,2.4,2.7,11.6,Dwayne Jones,dwayne-jones-1
Career,St. Joseph's,,98,69,2753,3.5,6.8,0.522,3.5,6.8,0.522,0,0,,3,6.2,0.484,12.1,1,0.6,3.4,2,3.6,10.1,Dwayne Jones,dwayne-jones-1
2009-10,Marquette,Big East,32,11,756,4.1,9.7,0.418,3.3,6.8,0.481,0.8,2.9,0.273,1.8,2.6,0.694,5.1,3.6,2,0.1,2.8,2.9,10.7,Dwight Buycks,dwight-buycks-1
2010-11,Marquette,Big East,36,29,1013,4.6,10,0.461,3.1,6.3,0.491,1.5,3.8,0.411,1.8,2.6,0.682,4.4,4.8,1.5,0.1,3.3,2.2,12.6,Dwight Buycks,dwight-buycks-1
Career,Marquette,,68,40,1769,4.4,9.9,0.443,3.2,6.5,0.486,1.2,3.4,0.36,1.8,2.6,0.687,4.7,4.3,1.7,0.1,3.1,2.5,11.8,Dwight Buycks,dwight-buycks-1
2010-11,Stanford,Pac-10,31,24,756,4.7,9.9,0.471,4.3,8.6,0.5,0.4,1.3,0.28,3.7,5.3,0.683,8.5,1.6,1.3,1.5,2.3,4.9,13.3,Dwight Powell,dwight-powell-1
2011-12,Stanford,Pac-12,35,11,614,4.8,10.5,0.453,4.7,9.4,0.5,0.1,1.1,0.059,3.6,5.1,0.705,10.5,1.7,1.8,1.4,3.4,5.2,13.2,Dwight Powell,dwight-powell-1
2012-13,Stanford,Pac-12,34,34,1032,6.9,14.8,0.467,6.4,13.6,0.469,0.6,1.3,0.455,5.2,6.5,0.796,11,2.8,1,1.5,3.2,4,19.6,Dwight Powell,dwight-powell-1
2013-14,Stanford,Pac-12,36,36,1167,6,13,0.462,5.7,11.7,0.485,0.3,1.3,0.256,5,7.2,0.687,8.5,3.8,1.6,1,3.6,3.9,17.3,Dwight Powell,dwight-powell-1
Career,Stanford,,136,105,3569,5.8,12.4,0.464,5.4,11.2,0.484,0.4,1.3,0.289,4.5,6.2,0.722,9.6,2.7,1.4,1.3,3.2,4.4,16.4,Dwight Powell,dwight-powell-1
2001-02,Marquette,CUSA,32,32,935,9.5,19.6,0.487,8.8,17.4,0.505,0.8,2.2,0.346,4.6,6.6,0.69,9,4.7,3.4,1.5,4.1,3.4,24.4,Dwyane Wade,dwyane-wade-1
2002-03,Marquette,CUSA,33,33,1058,9.5,18.9,0.501,9,17.3,0.519,0.5,1.7,0.318,7.3,9.4,0.779,7.9,5.5,2.7,1.6,4,2.9,26.8,Dwyane Wade,dwyane-wade-1
Career,Marquette,,65,65,1993,9.5,19.2,0.494,8.9,17.3,0.512,0.6,1.9,0.333,6,8.1,0.745,8.4,5.1,3,1.6,4.1,3.1,25.7,Dwyane Wade,dwyane-wade-1
2007-08,Purdue,Big Ten,34,31,1040,6.1,13.8,0.443,3.6,8,0.449,2.5,5.8,0.434,2,2.8,0.716,5,3.4,1.2,0.6,2.2,3.2,16.8,E'Twaun Moore,etwaun-moore-1
2008-09,Purdue,Big Ten,37,36,1222,6.2,14.6,0.422,4.3,9.1,0.473,1.8,5.4,0.337,2.6,3.4,0.762,5.6,3.6,1.3,0.5,3.2,3,16.8,E'Twaun Moore,etwaun-moore-1
2009-10,Purdue,Big Ten,35,35,1103,7.7,17.3,0.445,5.8,12,0.488,1.8,5.3,0.349,3.6,5,0.73,4.9,3.4,1.8,0.4,2.6,2.9,20.9,E'Twaun Moore,etwaun-moore-1
2010-11,Purdue,Big Ten,34,33,1152,7.7,17.2,0.447,5.2,11.1,0.473,2.4,6.1,0.4,3.5,4.9,0.709,6.1,3.8,1.4,0.6,2.1,2.5,21.3,E'Twaun Moore,etwaun-moore-1
Career,Purdue,,140,135,4517,6.9,15.7,0.44,4.8,10.1,0.473,2.2,5.7,0.38,2.9,4,0.729,5.4,3.5,1.5,0.5,2.6,2.9,18.9,E'Twaun Moore,etwaun-moore-1
1999-00,Memphis,CUSA,30,,508,5,11.7,0.43,5,11.4,0.441,0,0.3,0,3.1,5.7,0.548,9.2,1.8,1.1,2.4,,,13.2,Earl Barron,earl-barron-1
2000-01,Memphis,CUSA,36,10,690,6.5,12,0.541,6.5,12,0.541,0,0,,4.3,7.4,0.583,9.9,0.9,0.8,2.7,2.7,6.8,17.3,Earl Barron,earl-barron-1
2001-02,Memphis,CUSA,36,21,781,6.1,11.7,0.52,5.9,11.3,0.527,0.2,0.5,0.333,4.6,5.9,0.783,9.9,1.6,1.1,1.4,3.2,5.9,17,Earl Barron,earl-barron-1
2002-03,Memphis,CUSA,26,15,555,4.7,12,0.392,4.6,11.2,0.41,0.1,0.7,0.1,5.3,6.6,0.813,10.2,1.6,0.6,1.9,2.1,6.1,14.8,Earl Barron,earl-barron-1
Career,Memphis,,128,46,2534,5.7,11.9,0.479,5.6,11.5,0.489,0.1,0.4,0.174,4.4,6.4,0.685,9.8,1.5,0.9,2.1,2.2,5,15.8,Earl Barron,earl-barron-1
1994-95,Eastern Michigan,MAC,30,,976,5.3,12.8,0.413,3.9,8.7,0.446,1.4,4.1,0.343,3.4,4.8,0.703,3,5.6,2,0.2,2.9,1.6,15.4,Earl Boykins,earl-boykins-1
1995-96,Eastern Michigan,MAC,31,,1031,6.1,14,0.432,5.2,11.1,0.465,0.9,2.9,0.307,5.6,6.9,0.804,2.8,7,2.3,0.1,3,1.8,18.6,Earl Boykins,earl-boykins-1
1996-97,Eastern Michigan,MAC,32,,1163,7.2,16.9,0.423,5.8,12.5,0.467,1.3,4.5,0.3,5.4,6.3,0.852,2.3,5.1,2.1,0,4,2,21,Earl Boykins,earl-boykins-1
1997-98,Eastern Michigan,MAC,29,,,,,0.472,,,0.511,,,0.407,,,0.816,,,,,,,,Earl Boykins,earl-boykins-1
Career,Eastern Michigan,,122,,3170,9.6,21.8,0.439,7.3,15.3,0.476,2.3,6.5,0.353,6.5,8.1,0.803,3.5,7.9,2.8,0.1,3.3,1.8,27.9,Earl Boykins,earl-boykins-1
2006-07,Louisville,Big East,32,5,513,5.5,11.5,0.48,4.8,9.4,0.504,0.8,2.1,0.37,2.9,4.8,0.597,9.4,0.9,1.6,1.1,1.9,3,14.7,Earl Clark,earl-clark-1
2007-08,Louisville,Big East,35,22,997,5.9,12.3,0.476,5.3,9.7,0.544,0.6,2.6,0.227,3.3,5.1,0.654,11.4,1.9,1.4,2.4,3.2,2.5,15.6,Earl Clark,earl-clark-1
2008-09,Louisville,Big East,37,36,1269,6.4,13.9,0.457,5.4,10.9,0.493,1,3,0.326,2.8,4.4,0.647,10.1,3.8,1.2,1.6,3.8,2.2,16.5,Earl Clark,earl-clark-1
Career,Louisville,,104,63,2779,6,12.9,0.467,5.2,10.2,0.512,0.8,2.7,0.298,3,4.7,0.64,10.5,2.6,1.3,1.8,3.2,2.5,15.9,Earl Clark,earl-clark-1
1997-98,UCLA,Pac-10,33,,,,,0.392,,,0.436,,,0.323,,,0.606,,,,,,,,Earl Watson,earl-watson-1
1998-99,UCLA,Pac-10,31,,1053,5.5,12.6,0.435,4.2,8.7,0.487,1.3,3.9,0.32,3.4,4.9,0.703,4.4,5.4,1.9,0.4,4.8,3.6,15.6,Earl Watson,earl-watson-1
1999-00,UCLA,Pac-10,33,,1146,4.8,10.6,0.451,3.4,6.6,0.505,1.4,4,0.36,2.1,3.3,0.649,4.5,6.8,2.1,0.5,3.6,3.2,13.1,Earl Watson,earl-watson-1
2000-01,UCLA,Pac-10,32,32,1115,6.2,12.5,0.493,4.8,8.6,0.556,1.4,3.9,0.352,3.2,5,0.636,4.2,6,2.2,0.4,3.9,3.6,16.9,Earl Watson,earl-watson-1
Career,UCLA,,129,32,3314,6.3,13.9,0.45,4.6,9.2,0.507,1.6,4.7,0.341,3.4,5.2,0.654,5.8,7.3,2.8,0.6,4.1,3.5,17.5,Earl Watson,earl-watson-1
2008-09,UNC,ACC,38,2,716,5.5,10.7,0.518,5.5,10.7,0.518,0,0,,3.1,5.4,0.573,14,1.2,0.8,3.6,2.2,4.1,14.1,Ed Davis,ed-davis-1
2009-10,UNC,ACC,23,23,641,6.9,12,0.578,6.9,12,0.578,0,0,,5.4,8.2,0.659,13.7,1.4,0.6,4,2.9,2.6,19.3,Ed Davis,ed-davis-1
Career,UNC,,61,25,1357,6.2,11.3,0.548,6.2,11.3,0.548,0,0,,4.2,6.7,0.623,13.9,1.3,0.7,3.8,2.5,3.4,16.6,Ed Davis,ed-davis-1
2001-02,Charlotte,CUSA,30,0,566,3.2,6.8,0.469,3.1,6.2,0.5,0.1,0.6,0.125,2.6,4.1,0.638,9,2.8,3,0.5,3,3.8,9,Eddie Basden,eddie-basden-1
2002-03,Charlotte,CUSA,29,27,742,3.2,7.2,0.451,3.1,6.5,0.471,0.2,0.6,0.25,3.2,4.5,0.723,10.8,4,3.3,0.4,3,3.7,9.9,Eddie Basden,eddie-basden-1
2003-04,Charlotte,CUSA,30,24,850,4.9,9.2,0.536,4.2,7.2,0.578,0.8,2,0.381,4.1,6.4,0.644,9,4.4,3.2,0.1,3.2,3.1,14.7,Eddie Basden,eddie-basden-1
2004-05,Charlotte,CUSA,29,28,1049,5.9,12.1,0.487,5.1,10,0.51,0.8,2.2,0.386,4.2,5.8,0.724,9.3,4.1,3.5,0.2,2.9,2.2,16.9,Eddie Basden,eddie-basden-1
Career,Charlotte,,118,79,3207,4.6,9.3,0.491,4,7.8,0.518,0.5,1.5,0.353,3.7,5.3,0.687,9.5,3.9,3.3,0.3,3,3.1,13.3,Eddie Basden,eddie-basden-1
1998-99,Weber State,Big Sky,33,,1145,4.9,11.6,0.426,2,4.5,0.453,2.9,7.1,0.409,3.4,3.9,0.874,4.5,5.2,3.1,0.3,3.5,1.2,16.1,Eddie Gill,eddie-gill-1
1999-00,Weber State,Big Sky,28,,1009,5.1,12.9,0.394,3,7.3,0.415,2.1,5.6,0.366,5.9,6.9,0.861,7.1,7.7,3.6,0.3,4.4,2.9,18.1,Eddie Gill,eddie-gill-1
Career,Weber State,,61,,2154,5,12.2,0.41,2.5,5.8,0.431,2.5,6.4,0.391,4.6,5.3,0.866,5.7,6.4,3.3,0.3,3.9,2,17.1,Eddie Gill,eddie-gill-1
2000-01,Seton Hall,Big East,30,30,979,8.4,19.6,0.429,6.7,14.4,0.469,1.7,5.2,0.32,3.3,4.5,0.734,13.2,2,1.1,5.4,2.7,2.9,21.8,Eddie Griffin,eddie-griffin-1
Career,Seton Hall,,30,30,979,8.4,19.6,0.429,6.7,14.4,0.469,1.7,5.2,0.32,3.3,4.5,0.734,13.2,2,1.1,5.4,2.7,2.9,21.8,Eddie Griffin,eddie-griffin-1
1996-97,Arizona State,Pac-10,30,22,886,6.8,16.4,0.416,4.2,8.3,0.511,2.6,8.1,0.318,0.8,1.3,0.643,3.8,4.9,2.7,0.4,1.8,3,17,Eddie House,eddie-house-1
1997-98,Arizona State,Pac-10,32,31,955,6,13.9,0.432,3.7,8.1,0.454,2.3,5.7,0.401,0.9,1.2,0.759,4,3.9,2.7,0.3,,,15.2,Eddie House,eddie-house-1
1998-99,Arizona State,Pac-10,30,,1106,7.5,17.3,0.432,5.1,11.2,0.455,2.4,6,0.389,3.3,4.2,0.791,5.3,3.4,2.2,0.1,3,3.1,20.5,Eddie House,eddie-house-1
1999-00,Arizona State,Pac-10,32,,1189,8.8,21,0.422,6.4,14.2,0.449,2.5,6.7,0.365,4.6,5.5,0.835,5.9,3.7,2.5,0.1,2.4,2.2,24.8,Eddie House,eddie-house-1
Career,Arizona State,,124,53,4136,7.4,17.4,0.425,5,10.7,0.462,2.4,6.6,0.366,2.6,3.2,0.798,4.9,3.9,2.5,0.2,1.9,2.1,19.8,Eddie House,eddie-house-1
1991-92,Temple,A-10,29,9,764,6.4,14.6,0.437,3.9,7.6,0.517,2.5,7,0.351,2.1,3.9,0.547,6.4,1.6,3,1,1.5,4.7,17.4,Eddie Jones,eddie-jones-1
1992-93,Temple,A-10,32,,1169,7.3,15.8,0.458,5.6,11,0.506,1.7,4.8,0.348,2.4,4,0.603,7.7,1.9,2.4,1.4,1.9,2.6,18.6,Eddie Jones,eddie-jones-1
1993-94,Temple,A-10,31,,1184,7.8,16.6,0.47,6.3,12.3,0.512,1.5,4.3,0.352,3,4.5,0.662,7.1,2,2.4,1.6,1.8,2.3,20.1,Eddie Jones,eddie-jones-1
Career,Temple,,92,9,3117,7.3,15.8,0.458,5.4,10.7,0.511,1.8,5.2,0.35,2.6,4.2,0.614,7.1,1.8,2.5,1.4,1.8,3,18.9,Eddie Jones,eddie-jones-1
2014-15,Xavier,Big East,6,0,43,1.9,9.3,0.2,1.9,6.5,0.286,0,2.8,0,3.7,5.6,0.667,4.7,5.6,1.9,0,4.7,8.4,7.4,Edmond Sumner,edmond-sumner-1
2015-16,Xavier,Big East,31,29,802,5.1,12.8,0.397,3.8,8.7,0.443,1.2,4.1,0.301,5.6,7.7,0.727,5.3,5.6,1.9,0.3,3.2,3.6,17,Edmond Sumner,edmond-sumner-1
