SEASON,SCHOOL,CONFERENCE,G,GS,MP,PER40_FG,PER40_FGA,PER40_FG%,PER40_2P,PER40_2PA,PER40_2P%,PER40_3P,PER40_3PA,PER40_3P%,PER40_FT,PER40_FTA,PER40_FT%,PER40_TRB,PER40_AST,PER40_STL,PER40_BLK,PER40_TOV,PER40_PF,PER40_PTS,PLAYER,SPORTS_REF_ID
2003-04,Wisconsin,Big Ten,4,2,83,9.2,15.9,0.576,7.7,12.5,0.615,1.4,3.4,0.429,7.2,10.6,0.682,8.7,0.5,1,0,2.4,3.4,27,Alando Tucker,alando-tucker-1
2004-05,Wisconsin,Big Ten,31,30,983,6.6,13.6,0.485,5.7,10.6,0.533,0.9,3,0.315,5.1,7.4,0.683,7.7,2.1,0.9,0.1,2.4,1.6,19.2,Alando Tucker,alando-tucker-1
2005-06,Wisconsin,Big Ten,31,31,1034,8.6,19,0.453,7.9,16.3,0.486,0.7,2.6,0.25,4.9,9,0.545,6.8,2.1,0.7,0.3,2.4,1.5,22.7,Alando Tucker,alando-tucker-1
2006-07,Wisconsin,Big Ten,36,36,1181,8.7,18.5,0.47,7.3,14.3,0.512,1.4,4.2,0.325,5.6,8.4,0.659,6.6,2.5,1.1,0.3,2,1.5,24.3,Alando Tucker,alando-tucker-1
Career,Wisconsin,,134,126,4297,7.4,15.5,0.48,6.5,12.4,0.522,0.9,3.1,0.307,4.8,7.6,0.636,7.2,2,1,0.3,2.1,2,20.6,Alando Tucker,alando-tucker-1
2009-10,Colorado,Big 12,30,30,907,7.6,14.1,0.538,6.7,11.7,0.575,0.8,2.4,0.352,6.6,8.5,0.772,6.6,2.3,1.5,0.5,2.6,3.3,22.6,Alec Burks,alec-burks-1
2010-11,Colorado,Big 12,38,37,1193,8.4,17.9,0.469,7.5,14.7,0.508,0.9,3.2,0.292,8.3,10.1,0.825,8.3,3.8,1.4,0.4,3.3,3,26.1,Alec Burks,alec-burks-1
Career,Colorado,,68,67,2100,8.1,16.3,0.495,7.2,13.4,0.533,0.9,2.9,0.313,7.6,9.4,0.804,7.6,3.1,1.4,0.5,3,3.1,24.6,Alec Burks,alec-burks-1
2013-14,Valparaiso,Horizon,34,34,1006,6.1,12.5,0.49,3.9,6.6,0.588,2.3,5.9,0.383,2.7,3.5,0.773,6.5,1.9,1.2,0.2,2.6,3,17.2,Alec Peters,alec-peters-1
2014-15,Valparaiso,Horizon,34,34,1039,7.5,15.4,0.489,4.3,8.5,0.507,3.2,6.9,0.466,3.7,4.5,0.829,8.7,1.6,0.9,0.4,1.9,2.6,21.9,Alec Peters,alec-peters-1
2015-16,Valparaiso,Horizon,37,37,1186,7.5,14.9,0.505,4.5,7.9,0.562,3.1,7,0.44,4.8,5.6,0.85,10.5,1.7,0.9,0.4,2.1,2.6,22.9,Alec Peters,alec-peters-1
2016-17,Valparaiso,Horizon,29,29,1019,8.6,18.4,0.466,6.3,12.1,0.519,2.3,6.3,0.363,6.8,7.6,0.887,11.5,2.5,0.9,0.4,2.8,2.5,26.1,Alec Peters,alec-peters-1
Career,Valparaiso,,134,134,4250,7.4,15.3,0.487,4.7,8.7,0.539,2.7,6.5,0.416,4.5,5.3,0.846,9.4,1.9,1,0.4,2.3,2.7,22.1,Alec Peters,alec-peters-1
2002-03,Pepperdine,WCC,28,23,931,5.5,11.6,0.476,4.3,8.6,0.493,1.2,2.9,0.426,3.4,4.2,0.814,6,1,1.7,0.5,3.3,2,15.6,Alex Acker,alex-acker-1
2003-04,Pepperdine,WCC,29,26,940,5.9,13.1,0.45,4.5,9.4,0.482,1.4,3.7,0.368,3.6,4.6,0.794,6.6,4.7,2.3,0.5,3.1,2.7,16.7,Alex Acker,alex-acker-1
2004-05,Pepperdine,WCC,31,31,1152,6.4,14.1,0.45,4.3,9.4,0.459,2,4.8,0.431,3.2,3.7,0.858,7,4,1.4,0.5,2.8,2,17.9,Alex Acker,alex-acker-1
Career,Pepperdine,,88,80,3023,5.9,13,0.457,4.4,9.1,0.476,1.6,3.9,0.411,3.4,4.1,0.823,6.5,3.3,1.8,0.5,3,2.2,16.8,Alex Acker,alex-acker-1
2012-13,Texas A&M,SEC,33,17,815,3,8.1,0.373,2.4,5.7,0.419,0.6,2.4,0.265,2.2,3.7,0.6,5.3,5.5,3,0.7,3.7,4.6,8.9,Alex Caruso,alex-caruso-1
2013-14,Texas A&M,SEC,34,33,1013,4.1,8.8,0.46,3.1,6,0.52,0.9,2.8,0.333,3,4.4,0.685,4.8,6.7,2.7,1.1,3.3,3.6,12.1,Alex Caruso,alex-caruso-1
2014-15,Texas A&M,SEC,33,33,1038,4.1,8.8,0.463,3.1,6.1,0.506,1,2.7,0.366,2.4,3.5,0.685,5.8,7,2.7,0.1,3.9,2.6,11.6,Alex Caruso,alex-caruso-1
2015-16,Texas A&M,SEC,37,37,1067,4.2,8.3,0.502,3.1,5.4,0.572,1,2.8,0.368,1.9,2.4,0.785,5,6.9,2.9,0.5,3.3,3.4,11.3,Alex Caruso,alex-caruso-1
Career,Texas A&M,,137,120,3933,3.9,8.5,0.455,3,5.8,0.509,0.9,2.7,0.34,2.4,3.5,0.685,5.2,6.6,2.8,0.6,3.5,3.5,11.1,Alex Caruso,alex-caruso-1
2010-11,New Mexico,MWC,34,21,509,5,10.7,0.471,4.2,7.9,0.54,0.8,2.8,0.278,1.8,2.9,0.622,9.9,0.9,0.7,1.6,1.9,5.5,12.7,Alex Kirk,alex-kirk-2
2012-13,New Mexico,MWC,35,33,1018,6.2,12.5,0.494,5.7,10.6,0.531,0.5,1.8,0.277,3.9,5.4,0.715,11.1,0.7,0.6,2.5,2,3,16.7,Alex Kirk,alex-kirk-2
2013-14,New Mexico,MWC,32,32,1025,6.4,13.2,0.49,6,11,0.544,0.5,2.2,0.214,3.2,4.8,0.667,10.8,1.4,0.5,3.3,2.2,3.2,16.5,Alex Kirk,alex-kirk-2
Career,New Mexico,,101,86,2552,6.1,12.4,0.488,5.5,10.2,0.538,0.5,2.2,0.252,3.2,4.7,0.684,10.7,1,0.6,2.6,2.1,3.6,15.8,Alex Kirk,alex-kirk-2
2011-12,Maryland,ACC,22,11,466,4.5,8.1,0.553,4.5,8,0.559,0,0.1,0,2.3,3.9,0.587,10.2,1.1,0.3,4,2.8,4.6,11.2,Alex Len,alex-len-1
2012-13,Maryland,ACC,38,37,1004,6.9,12.9,0.534,6.9,12.6,0.544,0,0.3,0.125,4.2,6.1,0.686,11.9,1.5,0.3,3.1,2.4,4,18,Alex Len,alex-len-1
Career,Maryland,,60,48,1470,6.1,11.4,0.538,6.1,11.1,0.548,0,0.2,0.111,3.6,5.4,0.663,11.3,1.4,0.3,3.4,2.5,4.2,15.9,Alex Len,alex-len-1
2012-13,Kentucky,SEC,33,31,852,6.2,10.8,0.581,5.6,9.2,0.607,0.7,1.5,0.424,4.3,6.2,0.689,9.3,1,0.4,0.7,3.1,4.1,17.4,Alex Poythress,alex-poythress-1
2013-14,Kentucky,SEC,40,0,734,4.8,9.6,0.497,4.4,7.8,0.556,0.4,1.8,0.242,2.7,4.4,0.625,9.9,0.9,0.7,1.6,2.1,4.6,12.8,Alex Poythress,alex-poythress-1
2014-15,Kentucky,SEC,8,8,162,4,10.4,0.381,4,8.6,0.457,0,1.7,0,3,3.5,0.857,7.4,0.5,1,3,2,4.2,10.9,Alex Poythress,alex-poythress-1
2015-16,Kentucky,SEC,31,23,732,6.5,10.8,0.601,6.1,9.6,0.64,0.4,1.3,0.304,3.9,5.6,0.706,10.2,0.5,1,1.1,2,6.1,17.3,Alex Poythress,alex-poythress-1
Career,Kentucky,,112,62,2480,5.7,10.4,0.551,5.3,8.9,0.595,0.5,1.5,0.302,3.6,5.3,0.686,9.6,0.8,0.7,1.2,2.4,4.9,15.6,Alex Poythress,alex-poythress-1
